# NumSimul U_BOC U_EOC Np_BOC Np_EOC Pu_BOC Pu_EOC Am_BOC Am_EOC Cm_BOC Cm_EOC MA_BOC MA_EOC Pu8_BOC Pu8_EOC Pu9_BOC Pu9_EOC Pu0_BOC Pu0_EOC Pu1_BOC Pu1_EOC Pu2_BOC Pu2_EOC
0 68.31 66.6481 3.39953e-17 0.0139951 3.69 2.7319 0 0.122715 0 0.0578901 3.39953e-17 0.1946 0.0475888 0.0457726 2.50479 1.25035 0.352678 0.614133 0.383238 0.412538 0.401706 0.409112
1 67.7025 66.062 7.17442e-17 0.0140863 4.2975 3.27113 0 0.160613 0 0.0691221 7.17442e-17 0.243821 0.214505 0.170192 2.21042 1.30956 0.532657 0.664819 0.808791 0.540613 0.531124 0.585945
2 68.7825 67.0614 5.45349e-17 0.0144165 3.2175 2.36189 0 0.0935094 0 0.0441488 5.45349e-17 0.152075 0.25892 0.182406 2.03594 1.07119 0.136762 0.479759 0.614786 0.368081 0.171093 0.26045
3 66.285 64.7223 7.56316e-17 0.0138353 5.715 4.55098 0 0.209296 0 0.0807167 7.56316e-17 0.303848 0.412995 0.321827 2.59989 1.67307 0.878758 0.910816 0.852615 0.674671 0.970742 0.970591
4 67.365 65.7517 3.52631e-17 0.0138706 4.635 3.60956 0 0.140496 0 0.059525 3.52631e-17 0.213891 0.223737 0.171772 2.81393 1.58166 0.732963 0.8568 0.39753 0.528993 0.46684 0.47033
5 67.905 66.245 4.72235e-17 0.0141468 4.095 3.11668 0 0.136496 0 0.062824 4.72235e-17 0.213467 0.326715 0.238344 2.45804 1.3583 0.318407 0.605388 0.532363 0.442949 0.459472 0.471697
6 68.04 66.3774 7.1686e-17 0.0142065 3.96 2.98723 0 0.137704 0 0.0602523 7.1686e-17 0.212163 0.287715 0.216895 2.074 1.22669 0.43652 0.604002 0.808134 0.50081 0.353627 0.438825
7 66.42 64.8748 1.00556e-16 0.0137623 5.58 4.44584 0 0.182944 0 0.0612317 1.00556e-16 0.257938 0.498288 0.393386 2.19997 1.54947 1.31039 1.10564 1.13359 0.823629 0.437761 0.573711
8 67.635 66.0093 7.3803e-17 0.0139824 4.365 3.36931 0 0.13447 0 0.0504749 7.3803e-17 0.198927 0.157124 0.133881 2.18887 1.34285 0.956108 0.88348 0.832 0.64443 0.230894 0.364668
9 67.0275 65.429 1.78078e-17 0.0137867 4.9725 3.99334 0 0.101142 0 0.0371952 1.78078e-17 0.152124 0.257279 0.196059 3.13672 1.79826 1.18878 1.1692 0.200752 0.593615 0.188976 0.236202
10 67.23 65.6228 2.94052e-17 0.0138418 4.77 3.73724 0 0.14108 0 0.0598128 2.94052e-17 0.214734 0.247432 0.187955 2.94008 1.65298 0.756749 0.888771 0.331493 0.525657 0.494251 0.481876
11 68.04 66.3766 3.77862e-17 0.0141248 3.96 3.04855 0 0.095704 0 0.0399883 3.77862e-17 0.149817 0.337663 0.245261 2.49378 1.37304 0.537356 0.715304 0.425973 0.472956 0.165233 0.241987
12 67.095 65.5006 3.15398e-18 0.0136649 4.905 3.87636 0 0.128038 0 0.054907 3.15398e-18 0.19661 0.0978518 0.0781407 3.34774 1.81013 0.943898 1.05116 0.0355556 0.507147 0.479952 0.429777
13 68.58 66.871 2.76145e-17 0.0142935 3.42 2.57244 0 0.0789034 0 0.0371576 2.76145e-17 0.130354 0.33111 0.227704 2.45467 1.23219 0.166346 0.547673 0.311306 0.360543 0.156567 0.204331
14 69.0525 67.3252 3.54479e-17 0.0143125 2.9475 2.13739 0 0.0673139 0 0.0301393 3.54479e-17 0.111766 0.10758 0.081324 2.1885 1.03351 0.171611 0.503656 0.399614 0.345295 0.0801999 0.1736
15 68.3775 66.6908 4.29352e-17 0.0142546 3.6225 2.76711 0 0.0746272 0 0.0282784 4.29352e-17 0.11716 0.363791 0.258966 2.29892 1.25657 0.421955 0.63472 0.48402 0.442798 0.0538094 0.174055
16 68.58 66.91 8.88123e-18 0.0139382 3.42 2.52389 0 0.0847349 0 0.0404687 8.88123e-18 0.139142 0.0155979 0.0191656 2.71645 1.25405 0.359161 0.64444 0.10012 0.371038 0.228666 0.235199
17 67.905 66.2576 1.81155e-17 0.0139269 4.095 3.09955 0 0.136436 0 0.0658067 1.81155e-17 0.216169 0.168509 0.123798 2.87645 1.44575 0.229385 0.608504 0.204221 0.376697 0.61644 0.544807
18 66.69 65.1093 2.14428e-17 0.0137716 5.31 4.32386 0 0.0952103 0 0.0322917 2.14428e-17 0.141274 0.503516 0.377846 3.20675 1.92448 1.22103 1.20458 0.24173 0.615582 0.136971 0.201368
19 67.9725 66.3216 4.49508e-17 0.0140199 4.0275 3.03402 0 0.141119 0 0.064546 4.49508e-17 0.219685 0.143829 0.113856 2.47876 1.32458 0.398236 0.635574 0.506742 0.452701 0.499932 0.507309
20 63.99 62.5653 1.05823e-16 0.0131536 8.01 6.70698 0 0.229871 0 0.0629486 1.05823e-16 0.305973 0.724619 0.589698 2.9592 2.17559 2.44461 2.01336 1.19298 1.15132 0.688598 0.777005
21 67.635 66.002 6.90761e-17 0.0140126 4.365 3.31072 0 0.17501 0 0.0752211 6.90761e-17 0.264243 0.0160048 0.033342 2.29196 1.30878 0.599805 0.704181 0.778712 0.55421 0.678519 0.710202
22 65.1375 63.6167 1.05229e-16 0.0137498 6.8625 5.59949 0 0.261423 0 0.0878545 1.05229e-16 0.363027 0.301864 0.253633 2.50268 1.7587 1.61597 1.3615 1.18627 0.944197 1.25572 1.28146
23 64.7325 63.2468 8.52101e-18 0.0132461 7.2675 6.04835 0 0.192227 0 0.0729031 8.52101e-18 0.278376 0.639934 0.493966 4.10001 2.57625 1.28195 1.37232 0.0960595 0.595361 1.14955 1.01046
24 68.9175 67.2007 3.63371e-17 0.014277 3.0825 2.27494 0 0.0610671 0 0.0236502 3.63371e-17 0.0989943 0.15609 0.114165 2.19928 1.08101 0.286806 0.55313 0.409637 0.376572 0.0306838 0.150061
25 68.3775 66.6912 6.16339e-17 0.0142772 3.6225 2.69353 0 0.120964 0 0.05593 6.16339e-17 0.191171 0.265083 0.194386 2.10444 1.16743 0.256552 0.531546 0.694815 0.42665 0.301608 0.37352
26 67.5 65.8778 5.66951e-17 0.0139356 4.5 3.43798 0 0.172003 0 0.0743509 5.66951e-17 0.26029 0.0817601 0.0758379 2.50172 1.4054 0.559634 0.713614 0.639138 0.526994 0.71775 0.71613
27 65.61 64.0963 3.85036e-17 0.0134043 6.39 5.20677 0 0.191351 0 0.0678446 3.85036e-17 0.272599 0.0468789 0.0505892 3.47488 2.13441 1.62137 1.50234 0.434061 0.744398 0.81281 0.775035
28 66.015 64.4719 4.64516e-17 0.0136367 5.985 4.83063 0 0.187587 0 0.0718147 4.64516e-17 0.273039 0.444874 0.343161 3.13678 1.94908 1.04093 1.08568 0.523661 0.649961 0.83875 0.802749
29 68.175 66.5134 3.9053e-17 0.0140551 3.825 2.90278 0 0.101455 0 0.043468 3.9053e-17 0.158979 0.191031 0.144972 2.45023 1.31107 0.544946 0.706088 0.440255 0.469896 0.198542 0.270754
30 68.2425 66.5862 1.76346e-17 0.0139272 3.7575 2.80827 0 0.112045 0 0.0532938 1.76346e-17 0.179266 0.0664101 0.0550972 2.72779 1.33307 0.389718 0.662406 0.198799 0.398568 0.374782 0.359122
31 67.635 66.0124 4.35777e-17 0.0138739 4.365 3.31991 0 0.159142 0 0.0700481 4.35777e-17 0.243064 0.0442602 0.0469144 2.63067 1.41874 0.547797 0.724371 0.491262 0.494416 0.651013 0.635463
32 68.04 66.3781 6.99495e-17 0.0142361 3.96 3.00361 0 0.126249 0 0.0543047 6.99495e-17 0.194789 0.389126 0.285424 2.09389 1.25176 0.413389 0.600514 0.788559 0.494753 0.275031 0.37116
33 67.095 65.4866 7.33121e-17 0.0139836 4.905 3.80472 0 0.191987 0 0.0796624 7.33121e-17 0.285633 0.214211 0.173299 2.40544 1.45857 0.620941 0.735084 0.826466 0.588864 0.837946 0.8489
34 66.15 64.6055 4.28916e-17 0.013621 5.85 4.77024 0 0.138616 0 0.0476209 4.28916e-17 0.199858 0.492793 0.380308 3.12011 1.97185 1.44711 1.33335 0.483528 0.722968 0.306464 0.361765
35 67.9725 66.3261 4.30569e-17 0.0139871 4.0275 3.05923 0 0.122862 0 0.0533067 4.30569e-17 0.190156 0.132098 0.10695 2.47734 1.34403 0.613944 0.742196 0.485392 0.496941 0.318731 0.369112
36 68.58 66.8771 5.52704e-17 0.0143015 3.42 2.49159 0 0.128337 0 0.0638453 5.52704e-17 0.206483 0.145844 0.111054 2.16884 1.10886 0.0535516 0.456511 0.623077 0.364001 0.428687 0.451168
37 64.935 63.4294 8.3692e-17 0.0135719 7.065 5.79146 0 0.253465 0 0.0896715 8.3692e-17 0.356708 0.583034 0.460167 2.81803 1.91773 1.2852 1.20099 0.943481 0.817074 1.43525 1.39551
38 66.42 64.8585 2.90715e-17 0.0136411 5.58 4.45295 0 0.177536 0 0.0720831 2.90715e-17 0.26326 0.246319 0.191376 3.27122 1.90699 0.873152 0.99941 0.32773 0.564693 0.861581 0.790486
39 67.77 66.114 5.99147e-17 0.0142158 4.23 3.23192 0 0.148429 0 0.0672267 5.99147e-17 0.229871 0.406145 0.296287 2.32527 1.34777 0.308034 0.585335 0.675434 0.46474 0.515113 0.537789
40 65.1375 63.6276 3.49378e-17 0.0134643 6.8625 5.64236 0 0.210905 0 0.0804502 3.49378e-17 0.304819 0.639256 0.491924 3.52697 2.2274 1.05538 1.15415 0.393863 0.630832 1.24703 1.13805
41 67.2975 65.681 5.16398e-17 0.0140024 4.7025 3.6752 0 0.145043 0 0.0604796 5.16398e-17 0.219525 0.426583 0.317975 2.5955 1.54452 0.653809 0.789535 0.582149 0.54583 0.444461 0.477341
42 65.07 63.5544 1.66584e-17 0.0134523 6.93 5.71177 0 0.210281 0 0.0839761 1.66584e-17 0.30771 0.616608 0.470352 3.78634 2.32872 0.909172 1.0971 0.187794 0.548633 1.43009 1.26696
43 68.85 67.1462 9.64778e-18 0.0141071 3.15 2.30891 0 0.0695046 0 0.0340739 9.64778e-18 0.117686 0.097169 0.0705228 2.60593 1.16976 0.174719 0.555382 0.108762 0.33069 0.163424 0.182559
44 68.6475 66.9344 2.67505e-17 0.0142887 3.3525 2.50076 0 0.0833221 0 0.0408175 2.67505e-17 0.138428 0.290607 0.199387 2.45551 1.20614 0.110939 0.524002 0.301566 0.345372 0.193873 0.225857
45 65.1375 63.6412 5.71059e-18 0.01335 6.8625 5.75784 0 0.120778 0 0.0405256 5.71059e-18 0.174654 0.615721 0.476183 4.06346 2.57991 1.80427 1.7083 0.064377 0.686427 0.314676 0.307011
46 67.635 66.0085 1.93852e-17 0.0138525 4.365 3.36618 0 0.128177 0 0.0574289 1.93852e-17 0.199458 0.162106 0.123523 2.92535 1.54787 0.602371 0.800397 0.218535 0.462995 0.456637 0.43139
47 67.905 66.2553 7.3564e-17 0.0141249 4.095 3.09633 0 0.147537 0 0.0636222 7.3564e-17 0.225284 0.231331 0.180883 2.12493 1.25991 0.495943 0.63593 0.829306 0.527353 0.413494 0.492261
48 66.825 65.2403 3.49943e-17 0.0137589 5.175 4.06516 0 0.179803 0 0.0758837 3.49943e-17 0.269446 0.186047 0.146366 3.03641 1.72138 0.653367 0.838928 0.3945 0.523692 0.904675 0.834792
49 66.555 64.9748 4.0013e-17 0.013841 5.445 4.33229 0 0.179183 0 0.0748555 4.0013e-17 0.26788 0.457806 0.343522 3.02537 1.80065 0.636032 0.837199 0.451076 0.536147 0.874711 0.814768
50 67.095 65.4654 5.24209e-17 0.0141444 4.905 3.82467 0 0.186524 0 0.0843505 5.24209e-17 0.285019 0.427544 0.313753 2.65431 1.53314 0.209958 0.577232 0.590954 0.449829 1.02223 0.95071
