NumSimul U_BOC U_EOC Np_BOC Np_EOC Pu_BOC Pu_EOC Am_BOC Am_EOC Cm_BOC Cm_EOC MA_BOC MA_EOC Pu8_BOC Pu8_EOC Pu9_BOC Pu9_EOC Pu0_BOC Pu0_EOC Pu1_BOC Pu1_EOC Pu2_BOC Pu2_EOC
0 66.7339 65.2754 7.47409e-17 0.0130929 5.19762 4.11334 0.068459 0.126905 0 0.0429803 0.068459 0.182978 0.400222 0.334984 3.96536 2.38015 0.168515 0.668001 0.421286 0.470424 0.24224 0.259784
1 66.7339 65.0836 1.36402e-16 0.0148497 4.98171 4.15641 0.284368 0.239665 0 0.0823514 0.284368 0.336866 0.41602 0.42095 2.14329 1.46594 1.32179 1.08967 0.768848 0.714851 0.331763 0.464998
2 66.7339 65.1889 1.80312e-16 0.0138126 5.17656 4.08217 0.0895234 0.214918 0 0.0766927 0.0895234 0.305423 0.247506 0.236951 2.63304 1.68832 0.647728 0.776162 1.01635 0.681469 0.63193 0.699266
3 66.7339 65.274 1.59759e-16 0.0131508 5.19762 4.13126 0.068459 0.127939 0 0.0283679 0.068459 0.169458 0.136918 0.148373 3.2913 2.0785 0.868903 0.984269 0.9005 0.745119 0 0.175002
4 66.7339 65.0966 1.49482e-17 0.0147653 4.90799 4.12577 0.358093 0.245639 0 0.0896215 0.358093 0.350025 0.263304 0.323206 3.19651 1.83987 0.853105 0.982521 0.0842573 0.49397 0.51081 0.486208
5 66.7339 65.124 1.68167e-17 0.0140879 5.15023 4.15207 0.115854 0.199645 0 0.0833188 0.115854 0.297052 0.279102 0.247759 3.29657 1.83164 0.600333 0.851269 0.0947894 0.449846 0.879435 0.771553
6 66.7339 65.0732 1.02769e-17 0.0143434 5.19762 4.25303 0.068459 0.165399 0 0.0687577 0.068459 0.2485 0.352827 0.282892 2.95954 1.69043 1.27439 1.1982 0.0579269 0.569514 0.552938 0.511989
7 66.7339 65.2136 3.45676e-17 0.0135505 5.14496 4.14927 0.12112 0.145467 0 0.0503089 0.12112 0.209326 0.289634 0.264303 3.75472 2.19416 0.63193 0.914598 0.194845 0.496484 0.273836 0.279719
8 66.7339 65.2181 2.80278e-17 0.0140023 4.93432 4.12445 0.331763 0.169244 0 0.0442515 0.331763 0.227497 0.437085 0.445281 3.96536 2.36896 0.337029 0.774403 0.157982 0.425216 0.0368626 0.110589
9 66.7339 65.0598 7.56751e-17 0.0150001 4.95012 4.14241 0.315965 0.257534 0 0.0998976 0.315965 0.372432 0.495012 0.477289 2.55931 1.58532 0.800444 0.871193 0.426552 0.538142 0.668792 0.670462
