# NumSimul U_BOC U_EOC Np_BOC Np_EOC Pu_BOC Pu_EOC Am_BOC Am_EOC Cm_BOC Cm_EOC MA_BOC MA_EOC Pu8_BOC Pu8_EOC Pu9_BOC Pu9_EOC Pu0_BOC Pu0_EOC Pu1_BOC Pu1_EOC Pu2_BOC Pu2_EOC
0 68.6475 66.9409 4.75816e-17 0.0142898 3.30892 2.49375 0.0435825 0.0841851 0 0.0399363 0.0435825 0.138411 0.25479 0.193313 2.52443 1.23385 0.10728 0.527521 0.2682 0.343185 0.154215 0.195877
1 63.7875 62.3638 2.1272e-16 0.0143335 7.76902 6.6954 0.443475 0.412747 0 0.0897768 0.443475 0.516858 0.648787 0.66495 3.34249 2.48644 2.06134 1.79264 1.19902 1.10926 0.517387 0.642118
2 67.4325 65.8103 1.56393e-16 0.0141496 4.48985 3.48728 0.0776475 0.188683 0 0.0762597 0.0776475 0.279093 0.214672 0.202665 2.28375 1.40116 0.561802 0.687671 0.881527 0.580879 0.5481 0.614899
3 68.58 66.8989 1.03754e-16 0.0142002 3.37554 2.5535 0.04446 0.0814585 0 0.027502 0.04446 0.123161 0.08892 0.0950069 2.1375 1.15054 0.5643 0.662379 0.58482 0.475959 0 0.169616
4 64.5975 63.1144 2.10126e-17 0.0144782 6.89913 5.97775 0.50337 0.367777 0 0.0969058 0.50337 0.479161 0.370125 0.448395 4.49332 2.92914 1.1992 1.34683 0.11844 0.586436 0.718042 0.666945
5 66.015 64.4718 1.91125e-17 0.0137733 5.85333 4.78393 0.13167 0.219574 0 0.0835476 0.13167 0.316895 0.317205 0.286069 3.74661 2.19198 0.68229 0.947597 0.10773 0.479859 0.999495 0.878428
6 63.855 62.4014 1.58951e-17 0.0133854 8.03911 6.86484 0.105885 0.224839 0 0.0690331 0.105885 0.307258 0.545715 0.463561 4.57749 3.02612 1.97109 1.89764 0.089595 0.712051 0.855225 0.765471
7 67.8375 66.1989 2.73235e-17 0.0140722 4.06676 3.19566 0.0957375 0.11611 0 0.0481769 0.0957375 0.178359 0.228937 0.20329 2.96786 1.56712 0.4995 0.755285 0.154012 0.430637 0.21645 0.239334
8 67.9387 66.2904 2.16153e-17 0.0144258 3.80539 3.11065 0.255859 0.116117 0 0.0394089 0.255859 0.169952 0.337084 0.33669 3.05812 1.63485 0.25992 0.652977 0.121838 0.376817 0.0284287 0.109319
9 63.585 62.1667 1.20926e-16 0.014327 7.9101 6.84283 0.5049 0.442778 0 0.10643 0.5049 0.563535 0.79101 0.785519 4.08969 2.87858 1.27908 1.34771 0.681615 0.784202 1.06871 1.04681
10 67.905 66.2687 7.26498e-17 0.0139892 4.04586 3.07774 0.04914 0.147897 0 0.0660379 0.04914 0.227924 0.09828 0.099793 2.66175 1.40197 0.39312 0.653375 0.4095 0.442684 0.48321 0.479923
11 65.88 64.3538 2.00865e-16 0.0140586 5.92416 4.85172 0.19584 0.273479 0 0.0842586 0.19584 0.371796 0.31824 0.330553 2.5704 1.7837 1.27296 1.14097 1.1322 0.860852 0.63036 0.735647
12 63.72 62.2978 1.77745e-16 0.0140925 7.9074 6.76848 0.3726 0.399272 0 0.0958688 0.3726 0.509234 0.60444 0.605024 3.59352 2.58115 1.7802 1.63021 1.00188 0.987148 0.92736 0.964947
13 67.905 66.245 8.64533e-17 0.0144001 3.94349 3.1256 0.151515 0.134388 0 0.0544269 0.151515 0.203215 0.40131 0.348724 2.57985 1.46584 0.307125 0.618697 0.487305 0.443969 0.167895 0.248368
14 66.285 64.7266 3.24449e-17 0.0140615 5.51497 4.57489 0.200025 0.191828 0 0.0653629 0.200025 0.271253 0.485775 0.435903 3.56616 2.15937 0.90297 1.06204 0.18288 0.543816 0.37719 0.373762
15 63.5175 62.0992 1.68548e-16 0.0138017 8.21954 7.02346 0.262957 0.352989 0 0.0866178 0.262958 0.453409 0.593775 0.563777 3.64747 2.61305 2.11214 1.87534 0.95004 1.0269 0.91611 0.944402
16 66.4875 64.9307 1.57455e-16 0.0139065 5.41879 4.38636 0.0937125 0.187712 0 0.0585942 0.0937125 0.260213 0.192937 0.197605 2.58536 1.6969 1.47735 1.26721 0.887513 0.813847 0.275625 0.410793
17 68.7825 67.0755 4.56656e-17 0.014402 3.07593 2.36526 0.14157 0.0814706 0 0.035208 0.14157 0.131081 0.202702 0.196279 2.5547 1.23131 0.0096525 0.488949 0.2574 0.32048 0.05148 0.128245
18 66.285 64.7352 8.4154e-17 0.0143403 5.35496 4.41289 0.360045 0.303955 0 0.105957 0.360045 0.424252 0.280035 0.341234 3.34899 2.01053 0.26289 0.661411 0.474345 0.472771 0.988695 0.926946
19 67.23 65.6273 4.4005e-17 0.0139781 4.66506 3.77074 0.10494 0.121694 0 0.0402426 0.10494 0.175915 0.17172 0.17235 3.06234 1.74451 1.06371 1.07956 0.24804 0.575413 0.11925 0.198907
20 66.285 64.73 1.05446e-16 0.0144328 5.36639 4.46728 0.348615 0.271694 0 0.0898569 0.348615 0.375984 0.554355 0.545511 3.13182 1.99552 0.56007 0.806483 0.59436 0.564594 0.52578 0.555175
21 65.61 64.0973 1.77984e-16 0.0139797 6.1983 5.11505 0.1917 0.271696 0 0.0790672 0.1917 0.364742 0.14697 0.198082 2.84355 1.92332 1.62945 1.41563 1.00323 0.909398 0.5751 0.66862
22 63.855 62.4067 2.89003e-17 0.0144929 7.59114 6.67038 0.55386 0.392613 0 0.0874778 0.55386 0.494584 0.42354 0.503326 4.70781 3.19678 1.82448 1.78009 0.1629 0.713177 0.47241 0.477
