Pu238In Pu239In Pu241In Pu242In Am241In Pu240In cPu238In cPu239In cPu240In cPu241In cPu242In cAm241In cPu238Out cPu239Out cPu240Out cPu241Out cPu242Out cAm241Out MAIn MAOut AmIn AmOut NpIn NpOut CmIn CmOut PuIn PuOut FissileIn FissileOut Pu238Out Pu239Out Pu240Out Pu241Out Pu242Out Am241Out tds_1__n__iter__
2.866362340e+00 4.786530915e+01 1.085721399e+01 5.903398887e+00 2.340540250e+00 3.016717538e+01 2.333000000e-03 3.957000000e-02 2.494000000e-02 8.152000000e-03 4.881000000e-03 2.751000000e-03 3.079000000e-03 1.959000000e-02 1.970000000e-02 1.013000000e-02 6.879000000e-03 1.438000000e-03 2.800000000e-01 4.800000000e-01 2.800000000e-01 3.200000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 1.400000000e-01 8.262700000e-02 6.081600000e-02 5.775593934e-01 4.886871876e-01 5.062812418e-02 3.221191792e-01 3.239279137e-01 1.665680084e-01 1.131116811e-01 2.364509340e-02 1 
1.985967702e+00 5.423618073e+01 8.209879024e+00 9.748224811e-01 2.451172319e+00 3.214197774e+01 1.616000000e-03 4.483000000e-02 2.656000000e-02 6.164000000e-03 8.060000000e-04 2.642000000e-03 2.526000000e-03 2.174000000e-02 2.198000000e-02 1.034000000e-02 3.703000000e-03 1.410000000e-03 2.600000000e-01 3.400000000e-01 2.600000000e-01 2.400000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 8.000000000e-02 8.261800000e-02 6.169900000e-02 6.172262703e-01 5.199435971e-01 4.094069596e-02 3.523557918e-01 3.562456442e-01 1.675878053e-01 6.001718018e-02 2.285288254e-02 3 
3.582299732e+00 5.265446106e+01 1.817452950e+01 7.358274765e+00 1.760169531e+00 1.647026541e+01 2.915000000e-03 4.353000000e-02 1.361000000e-02 1.365000000e-02 6.084000000e-03 2.828000000e-03 3.615000000e-03 2.200000000e-02 1.443000000e-02 9.537000000e-03 8.007000000e-03 1.616000000e-03 2.800000000e-01 5.100000000e-01 2.800000000e-01 3.500000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 1.400000000e-01 8.261700000e-02 5.920500000e-02 6.921093722e-01 5.326746052e-01 6.105903218e-02 3.715902373e-01 2.437294147e-01 1.610843679e-01 1.352419559e-01 2.729499198e-02 5 
4.629733915e+00 5.236989763e+01 2.050414237e+01 2.846661220e+00 7.586854535e-01 1.889087942e+01 3.768000000e-03 4.330000000e-02 1.562000000e-02 1.540000000e-02 2.354000000e-03 2.179000000e-03 4.025000000e-03 2.262000000e-02 1.512000000e-02 1.051000000e-02 5.381000000e-03 1.614000000e-03 2.200000000e-01 4.300000000e-01 2.200000000e-01 3.000000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 1.100000000e-01 8.262100000e-02 5.927000000e-02 7.104731243e-01 5.589674372e-01 6.790956639e-02 3.816433271e-01 2.551037624e-01 1.773241100e-01 9.078791969e-02 2.723131432e-02 6 
4.319550904e-01 4.996299502e+01 1.723336285e+01 2.277909169e+00 9.500809334e-01 2.914369694e+01 3.510000000e-04 4.129000000e-02 2.408000000e-02 1.293000000e-02 1.882000000e-03 2.088000000e-03 1.649000000e-03 2.103000000e-02 1.934000000e-02 1.126000000e-02 5.151000000e-03 1.557000000e-03 2.100000000e-01 4.200000000e-01 2.100000000e-01 2.900000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 1.100000000e-01 8.262100000e-02 5.998700000e-02 6.562496218e-01 5.382832947e-01 2.748928935e-02 3.505759581e-01 3.224031874e-01 1.877073366e-01 8.586860486e-02 2.595562372e-02 7 
4.364924280e+00 5.099049094e+01 1.900096972e+01 8.336831508e+00 2.802803966e+00 1.450397958e+01 3.553000000e-03 4.216000000e-02 1.199000000e-02 1.427000000e-02 6.894000000e-03 3.750000000e-03 4.395000000e-03 2.155000000e-02 1.344000000e-02 9.259000000e-03 8.794000000e-03 1.813000000e-03 3.800000000e-01 5.500000000e-01 3.800000000e-01 3.800000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 1.500000000e-01 8.261700000e-02 5.925100000e-02 6.830313374e-01 5.199743464e-01 7.417596327e-02 3.637069417e-01 2.268316147e-01 1.562674048e-01 1.484194360e-01 3.059863969e-02 8 
3.595779852e-01 5.470554685e+01 1.564696815e+01 1.689280255e+00 5.291721388e-01 2.706945462e+01 2.930000000e-04 4.521000000e-02 2.236000000e-02 1.174000000e-02 1.396000000e-03 1.621000000e-03 1.385000000e-03 2.258000000e-02 1.933000000e-02 1.091000000e-02 4.476000000e-03 1.411000000e-03 1.600000000e-01 3.700000000e-01 1.600000000e-01 2.600000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 9.000000000e-02 8.262000000e-02 6.009200000e-02 6.893004115e-01 5.573121214e-01 2.304799308e-02 3.757571723e-01 3.216734341e-01 1.815549491e-01 7.448578846e-02 2.348066298e-02 9 
3.306748956e+00 5.124505552e+01 5.321479274e+00 3.318761870e+00 7.879085243e-01 3.602004586e+01 2.691000000e-03 4.237000000e-02 2.977000000e-02 3.996000000e-03 2.744000000e-03 1.052000000e-03 2.546000000e-03 2.012000000e-02 2.336000000e-02 1.026000000e-02 4.717000000e-03 9.910000000e-04 1.100000000e-01 3.500000000e-01 1.100000000e-01 2.300000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 1.000000000e-01 8.262300000e-02 6.199400000e-02 5.611754596e-01 4.900474239e-01 4.106849050e-02 3.245475369e-01 3.768106591e-01 1.654998871e-01 7.608800852e-02 1.598541794e-02 10 
4.368617187e+00 3.931976829e+01 1.775154796e+01 6.144557790e+00 8.942092245e-01 3.152129955e+01 3.556000000e-03 3.251000000e-02 2.606000000e-02 1.333000000e-02 5.081000000e-03 2.082000000e-03 3.767000000e-03 1.773000000e-02 1.836000000e-02 1.104000000e-02 8.017000000e-03 1.471000000e-03 2.100000000e-01 5.000000000e-01 2.100000000e-01 3.300000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 1.400000000e-01 8.261900000e-02 6.038500000e-02 5.548360547e-01 4.764428252e-01 6.238304215e-02 2.936159642e-01 3.040490188e-01 1.828268610e-01 1.327647595e-01 2.436035439e-02 12 
3.351527570e+00 5.497618549e+01 1.068033026e+01 3.535930971e+00 6.084232326e-01 2.684760247e+01 2.727000000e-03 4.545000000e-02 2.219000000e-02 8.020000000e-03 2.923000000e-03 1.311000000e-03 2.785000000e-03 2.211000000e-02 1.952000000e-02 1.001000000e-02 5.008000000e-03 1.155000000e-03 1.300000000e-01 3.800000000e-01 1.300000000e-01 2.500000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 1.000000000e-01 8.262100000e-02 6.058800000e-02 6.471720265e-01 5.301379811e-01 4.596619793e-02 3.649237473e-01 3.221760085e-01 1.652142338e-01 8.265663168e-02 1.906318083e-02 13 
4.053265447e+00 5.777715113e+01 1.201804903e+01 3.302471625e+00 1.794468646e-01 2.266961591e+01 3.299000000e-03 4.777000000e-02 1.874000000e-02 9.025000000e-03 2.731000000e-03 1.058000000e-03 3.102000000e-03 2.339000000e-02 1.800000000e-02 9.754000000e-03 4.787000000e-03 1.123000000e-03 1.100000000e-01 3.600000000e-01 1.100000000e-01 2.400000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 1.000000000e-01 8.262300000e-02 6.015600000e-02 6.873993924e-01 5.509674845e-01 5.156592859e-02 3.888223951e-01 2.992220227e-01 1.621450894e-01 7.957643460e-02 1.866812953e-02 14 
4.698177123e+00 5.029112472e+01 1.004322843e+01 8.112007443e+00 1.381789157e+00 2.547367312e+01 3.824000000e-03 4.159000000e-02 2.106000000e-02 7.543000000e-03 6.708000000e-03 1.900000000e-03 3.687000000e-03 2.020000000e-02 1.801000000e-02 9.457000000e-03 7.941000000e-03 1.196000000e-03 1.900000000e-01 4.800000000e-01 1.900000000e-01 3.100000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 1.400000000e-01 8.262500000e-02 6.049100000e-02 5.946505295e-01 4.902712800e-01 6.095121588e-02 3.339339736e-01 2.977302409e-01 1.563373064e-01 1.312757270e-01 1.977153626e-02 15 
1.187793942e+00 3.976860421e+01 1.529086404e+01 4.862205102e+00 6.561055895e-01 3.823442712e+01 9.660000000e-04 3.287000000e-02 3.159000000e-02 1.148000000e-02 4.019000000e-03 1.699000000e-03 1.901000000e-03 1.737000000e-02 2.195000000e-02 1.150000000e-02 7.032000000e-03 1.374000000e-03 1.700000000e-01 4.700000000e-01 1.700000000e-01 3.100000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 1.300000000e-01 8.262400000e-02 6.112700000e-02 5.367689775e-01 4.722953850e-01 3.109918694e-02 2.841624814e-01 3.590884552e-01 1.881329036e-01 1.150391807e-01 2.247779214e-02 16 
2.956862629e+00 5.499365851e+01 9.310997626e+00 1.301970166e+00 2.812021689e+00 2.862448938e+01 2.406000000e-03 4.546000000e-02 2.366000000e-02 6.992000000e-03 1.076000000e-03 3.023000000e-03 3.211000000e-03 2.226000000e-02 2.036000000e-02 1.008000000e-02 3.866000000e-03 1.512000000e-03 3.000000000e-01 3.700000000e-01 3.000000000e-01 2.600000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 9.000000000e-02 8.261700000e-02 6.128900000e-02 6.348814409e-01 5.276640180e-01 5.239113055e-02 3.631973111e-01 3.321966421e-01 1.644667069e-01 6.307820327e-02 2.467000604e-02 17 
2.981619385e+00 5.892054722e+01 1.242593267e+01 4.719687446e+00 1.042923784e+00 1.990928950e+01 2.426000000e-03 4.871000000e-02 1.646000000e-02 9.330000000e-03 3.902000000e-03 1.801000000e-03 2.799000000e-03 2.373000000e-02 1.691000000e-02 9.409000000e-03 5.625000000e-03 1.280000000e-03 1.800000000e-01 4.100000000e-01 1.800000000e-01 2.800000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 1.100000000e-01 8.262900000e-02 5.975300000e-02 7.024168270e-01 5.545997690e-01 4.684283634e-02 3.971348719e-01 2.829983432e-01 1.574648972e-01 9.413753284e-02 2.142151858e-02 18 
4.672908721e+00 4.463783724e+01 1.640741742e+01 9.150092226e+00 1.263887151e+00 2.386785724e+01 3.804000000e-03 3.691000000e-02 1.973000000e-02 1.232000000e-02 7.567000000e-03 2.285000000e-03 3.954000000e-03 1.901000000e-02 1.606000000e-02 9.899000000e-03 9.496000000e-03 1.419000000e-03 2.300000000e-01 5.300000000e-01 2.300000000e-01 3.500000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 1.600000000e-01 8.261600000e-02 5.983800000e-02 5.958894161e-01 4.831210936e-01 6.607841171e-02 3.176910993e-01 2.683913232e-01 1.654299943e-01 1.586951436e-01 2.371402788e-02 19 
4.188747891e+00 4.383261379e+01 2.170967341e+01 4.286301596e+00 2.444697430e+00 2.353796588e+01 3.409000000e-03 3.624000000e-02 1.946000000e-02 1.630000000e-02 3.544000000e-03 3.660000000e-03 4.369000000e-03 1.974000000e-02 1.549000000e-02 1.090000000e-02 6.919000000e-03 1.950000000e-03 3.700000000e-01 5.300000000e-01 3.700000000e-01 3.700000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 1.400000000e-01 8.261300000e-02 5.936800000e-02 6.359773885e-01 5.161029511e-01 7.359183398e-02 3.325023582e-01 2.609149710e-01 1.836005929e-01 1.165442663e-01 3.284597763e-02 20 
4.608201495e+00 5.682517427e+01 7.351500127e+00 3.063699314e+00 1.808794255e+00 2.634263054e+01 3.751000000e-03 4.699000000e-02 2.178000000e-02 5.521000000e-03 2.534000000e-03 2.048000000e-03 3.680000000e-03 2.259000000e-02 1.964000000e-02 9.512000000e-03 4.440000000e-03 1.212000000e-03 2.100000000e-01 3.700000000e-01 2.000000000e-01 2.500000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 1.000000000e-01 8.262400000e-02 6.107400000e-02 6.355417312e-01 5.256246521e-01 6.025477290e-02 3.698791630e-01 3.215771032e-01 1.557454891e-01 7.269869339e-02 1.984477847e-02 21 
3.367601214e+00 5.339402386e+01 9.160303867e+00 6.799643396e-01 2.408532728e+00 3.098957399e+01 2.741000000e-03 4.414000000e-02 2.562000000e-02 6.879000000e-03 5.620000000e-04 2.679000000e-03 3.302000000e-03 2.171000000e-02 2.121000000e-02 1.033000000e-02 3.634000000e-03 1.437000000e-03 2.700000000e-01 3.400000000e-01 2.700000000e-01 2.400000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 8.000000000e-02 8.262100000e-02 6.162300000e-02 6.175064451e-01 5.199357383e-01 5.358388913e-02 3.523035230e-01 3.441896694e-01 1.676322152e-01 5.897148792e-02 2.331921523e-02 22 
