# Pu238In Pu239In Pu241In Pu242In Am241In Pu240In cPu238In cPu239In cPu240In cPu241In cPu242In cAm241In cPu238Out cPu239Out cPu240Out cPu241Out cPu242Out cAm241Out MAIn MAOut AmIn AmOut NpIn NpOut CmIn CmOut PuIn PuOut FissileIn FissileOut Pu238Out Pu239Out Pu240Out Pu241Out Pu242Out Am241Out tds_1__n__iter__
2.866362340e+00 4.786530915e+01 1.085721399e+01 5.903398887e+00 2.340540250e+00 3.016717538e+01 3.202000000e-03 5.431000000e-02 3.423000000e-02 1.119000000e-02 6.699000000e-03 3.777000000e-03 4.193000000e-03 3.058000000e-02 2.888000000e-02 1.353000000e-02 8.412000000e-03 2.502000000e-03 3.800000000e-01 6.100000000e-01 3.800000000e-01 4.500000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 1.400000000e-01 1.134080000e-01 8.809700000e-02 5.775606659e-01 5.006980941e-01 4.759526431e-02 3.471173820e-01 3.278204706e-01 1.535807122e-01 9.548565785e-02 2.840051307e-02 1 
1.985967702e+00 5.423618073e+01 8.209879024e+00 9.748224811e-01 2.451172319e+00 3.214197774e+01 1.899000000e-03 5.269000000e-02 3.122000000e-02 7.245000000e-03 9.470000000e-04 3.105000000e-03 2.928000000e-03 2.751000000e-02 2.666000000e-02 1.179000000e-02 3.744000000e-03 1.855000000e-03 3.100000000e-01 3.900000000e-01 3.100000000e-01 2.900000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 8.000000000e-02 9.710600000e-02 7.448700000e-02 6.172121187e-01 5.276088445e-01 3.930887269e-02 3.693261911e-01 3.579148039e-01 1.582826533e-01 5.026380442e-02 2.490367447e-02 2 
3.582299732e+00 5.265446106e+01 1.817452950e+01 7.358274765e+00 1.760169531e+00 1.647026541e+01 2.385000000e-03 3.562000000e-02 1.114000000e-02 1.117000000e-02 4.978000000e-03 2.314000000e-03 2.914000000e-03 1.641000000e-02 1.175000000e-02 7.617000000e-03 6.934000000e-03 1.074000000e-03 2.300000000e-01 4.400000000e-01 2.300000000e-01 2.800000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 1.400000000e-01 6.760700000e-02 4.669900000e-02 6.920880974e-01 5.145078053e-01 6.239962312e-02 3.513993876e-01 2.516113835e-01 1.631084177e-01 1.484828369e-01 2.299835114e-02 3 
4.629733915e+00 5.236989763e+01 2.050414237e+01 2.846661220e+00 7.586854535e-01 1.889087942e+01 2.732000000e-03 3.139000000e-02 1.132000000e-02 1.116000000e-02 1.706000000e-03 1.580000000e-03 2.797000000e-03 1.429000000e-02 1.077000000e-02 7.211000000e-03 4.700000000e-03 8.350000000e-04 1.600000000e-01 3.400000000e-01 1.600000000e-01 2.100000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 1.100000000e-01 5.988800000e-02 4.060300000e-02 7.104929201e-01 5.295421521e-01 6.888653548e-02 3.519444376e-01 2.652513361e-01 1.775977145e-01 1.157549935e-01 2.056498288e-02 4 
4.319550904e-01 4.996299502e+01 1.723336285e+01 2.277909169e+00 9.500809334e-01 2.914369694e+01 3.230000000e-04 3.795000000e-02 2.213000000e-02 1.189000000e-02 1.730000000e-03 1.919000000e-03 1.547000000e-03 1.866000000e-02 1.750000000e-02 1.027000000e-02 5.015000000e-03 1.330000000e-03 1.900000000e-01 3.900000000e-01 1.900000000e-01 2.700000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 1.100000000e-01 7.594200000e-02 5.432200000e-02 6.562903268e-01 5.325650749e-01 2.847833290e-02 3.435072346e-01 3.221530871e-01 1.890578403e-01 9.231987040e-02 2.448363462e-02 5 
4.364924280e+00 5.099049094e+01 1.900096972e+01 8.336831508e+00 2.802803966e+00 1.450397958e+01 3.026000000e-03 3.591000000e-02 1.021000000e-02 1.215000000e-02 5.871000000e-03 3.194000000e-03 3.699000000e-03 1.709000000e-02 1.145000000e-02 7.720000000e-03 7.771000000e-03 1.297000000e-03 3.200000000e-01 4.900000000e-01 3.200000000e-01 3.100000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 1.500000000e-01 7.036100000e-02 4.902700000e-02 6.830488481e-01 5.060476880e-01 7.544822241e-02 3.485834336e-01 2.335447814e-01 1.574642544e-01 1.585044975e-01 2.645481061e-02 6 
3.595779852e-01 5.470554685e+01 1.564696815e+01 1.689280255e+00 5.291721388e-01 2.706945462e+01 2.390000000e-04 3.695000000e-02 1.828000000e-02 9.598000000e-03 1.141000000e-03 1.325000000e-03 1.193000000e-03 1.679000000e-02 1.532000000e-02 8.806000000e-03 4.261000000e-03 9.750000000e-04 1.300000000e-01 3.200000000e-01 1.300000000e-01 2.100000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 9.000000000e-02 6.753300000e-02 4.734500000e-02 6.892630270e-01 5.406273102e-01 2.519801457e-02 3.546309008e-01 3.235822157e-01 1.859964093e-01 8.999894392e-02 2.059351568e-02 7 
3.306748956e+00 5.124505552e+01 5.321479274e+00 3.318761870e+00 7.879085243e-01 3.602004586e+01 4.039000000e-03 6.359000000e-02 4.469000000e-02 5.998000000e-03 4.119000000e-03 1.580000000e-03 3.901000000e-03 3.593000000e-02 3.816000000e-02 1.379000000e-02 5.510000000e-03 1.744000000e-03 1.600000000e-01 4.500000000e-01 1.600000000e-01 3.300000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 1.000000000e-01 1.240160000e-01 9.903500000e-02 5.611211457e-01 5.020447317e-01 3.939011461e-02 3.628010299e-01 3.853183218e-01 1.392437017e-01 5.563689605e-02 1.760993588e-02 8 
4.368617187e+00 3.931976829e+01 1.775154796e+01 6.144557790e+00 8.942092245e-01 3.152129955e+01 4.694000000e-03 4.292000000e-02 3.440000000e-02 1.760000000e-02 6.708000000e-03 2.749000000e-03 5.069000000e-03 2.539000000e-02 2.603000000e-02 1.509000000e-02 9.601000000e-03 2.448000000e-03 2.800000000e-01 6.100000000e-01 2.700000000e-01 4.500000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 1.400000000e-01 1.090710000e-01 8.362800000e-02 5.548679301e-01 4.840484048e-01 6.061367006e-02 3.036064476e-01 3.112593868e-01 1.804419572e-01 1.148060458e-01 2.927249247e-02 9 
3.351527570e+00 5.497618549e+01 1.068033026e+01 3.535930971e+00 6.084232326e-01 2.684760247e+01 2.654000000e-03 4.422000000e-02 2.159000000e-02 7.803000000e-03 2.844000000e-03 1.275000000e-03 2.703000000e-03 2.123000000e-02 1.891000000e-02 9.754000000e-03 4.953000000e-03 1.103000000e-03 1.300000000e-01 3.700000000e-01 1.300000000e-01 2.500000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 1.000000000e-01 8.038600000e-02 5.865300000e-02 6.471649292e-01 5.282594241e-01 4.608459925e-02 3.619593201e-01 3.224046511e-01 1.663001040e-01 8.444580840e-02 1.880551719e-02 10 
4.053265447e+00 5.777715113e+01 1.201804903e+01 3.302471625e+00 1.794468646e-01 2.266961591e+01 2.704000000e-03 3.916000000e-02 1.536000000e-02 7.399000000e-03 2.239000000e-03 8.680000000e-04 2.470000000e-03 1.735000000e-02 1.447000000e-02 8.023000000e-03 4.431000000e-03 7.980000000e-04 9.000000000e-02 3.200000000e-01 9.000000000e-02 2.000000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 1.000000000e-01 6.773000000e-02 4.754200000e-02 6.874206408e-01 5.336965210e-01 5.195406167e-02 3.649404737e-01 3.043624585e-01 1.687560473e-01 9.320180051e-02 1.678515839e-02 11 
4.698177123e+00 5.029112472e+01 1.004322843e+01 8.112007443e+00 1.381789157e+00 2.547367312e+01 4.749000000e-03 5.164000000e-02 2.615000000e-02 9.367000000e-03 8.330000000e-03 2.359000000e-03 4.681000000e-03 2.760000000e-02 2.310000000e-02 1.153000000e-02 9.342000000e-03 1.729000000e-03 2.400000000e-01 5.400000000e-01 2.400000000e-01 3.800000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 1.400000000e-01 1.025950000e-01 7.798200000e-02 5.946391150e-01 5.017824626e-01 6.002667282e-02 3.539278295e-01 2.962222051e-01 1.478546331e-01 1.197968762e-01 2.217178323e-02 12 
1.187793942e+00 3.976860421e+01 1.529086404e+01 4.862205102e+00 6.561055895e-01 3.823442712e+01 1.453000000e-03 4.940000000e-02 4.749000000e-02 1.725000000e-02 6.041000000e-03 2.553000000e-03 2.679000000e-03 2.961000000e-02 3.692000000e-02 1.731000000e-02 8.829000000e-03 2.741000000e-03 2.600000000e-01 6.300000000e-01 2.600000000e-01 4.800000000e-01 0.000000000e+00 2.000000000e-02 0.000000000e+00 1.300000000e-01 1.241870000e-01 9.808900000e-02 5.366906359e-01 4.783410984e-01 2.731193100e-02 3.018687111e-01 3.763928677e-01 1.764723873e-01 9.001009287e-02 2.794401003e-02 13 
