simulation id,uranium,neptunium,plutonium,americium,curium,pu238,pu239,pu240,pu241,pu242,am241
1,69.831882,0,2.0959079,0.072210103,0,0.157796516,1.60208031,0.092421866,0.025911119,0.217698088,0.072210103
3,69.831882,0,2.125246833,0.04287117,0,0.191146528,1.195194886,0.315623686,0.195067407,0.228214326,0.04287117
4,69.831882,0,2.100103414,0.068014589,0,0.156819023,1.649824478,0.168773343,0.082957028,0.041729542,0.068014589
5,69.831882,0,2.023271681,0.144846322,0,0.042220233,1.230259332,0.260717488,0.370914277,0.119160352,0.144846322
6,69.831882,0,2.116643635,0.051474368,0,0.189579903,1.278880575,0.268405695,0.08521783,0.294559633,0.051474368
7,69.831882,0,2.131542593,0.03657541,0,0.109817631,1.24730386,0.223416559,0.150236797,0.400767746,0.03657541
8,69.831882,0,2.130833122,0.037284881,0,0.111673793,1.235462189,0.361521888,0.132554787,0.289620465,0.037284881
9,69.831882,0,2.147128088,0.020989915,0,0.049716971,1.184947338,0.612915105,0.22639122,0.073157454,0.020989915
10,69.831882,0,2.156436528,0.011681475,0,0.07904981,1.172119319,0.36195102,0.119681041,0.423635339,0.011681475
11,69.831882,0,2.048468621,0.119649382,0,0.065527476,1.516147394,0.077879259,0.378663932,0.01025056,0.119649382
12,69.831882,0,2.0948868,0.073231203,0,0.083774425,1.021695791,0.552592703,0.263897462,0.172926419,0.073231203
13,69.831882,0,2.116875264,0.051242739,0,0.027433759,1.268035699,0.351017872,0.347069977,0.123317957,0.051242739
14,69.831882,0,2.12413843,0.043979573,0,0.022018016,1.343189131,0.334873215,0.188171417,0.235886652,0.043979573
15,69.831882,0,2.043762049,0.124355954,0,0.013208197,1.238363616,0.569202016,0.025933682,0.197054537,0.124355954
16,69.831882,0,2.144407377,0.023710626,0,0.16929818,1.135909182,0.63636186,0.081913959,0.120924195,0.023710626
17,69.831882,0,2.12552391,0.042594093,0,0.013955246,1.499494068,0.402544302,0.110330085,0.099200208,0.042594093
18,69.831882,0,2.133811641,0.034306362,0,0.10862477,1.511466305,0.447992826,0.014458374,0.051269366,0.034306362
19,69.831882,0,2.132529623,0.03558838,0,0.006879286,1.23852023,0.269018324,0.304543436,0.313568347,0.03558838
20,69.831882,0,2.040304474,0.127813528,0,0.202985766,0.976201146,0.346373175,0.291947862,0.222796526,0.127813528
21,69.831882,0,2.111535487,0.056582516,0,0.05590768,1.295207596,0.269076285,0.134010673,0.357333253,0.056582516
22,69.831882,0,2.165737418,0.002380585,0,0.143026901,1.170049641,0.574328986,0.00712842,0.27120347,0.002380585
23,69.831882,0,2.060982342,0.107135661,0,0.091160505,1.235748899,0.151813681,0.232461201,0.349798056,0.107135661
24,69.831882,0,2.11633341,0.051784593,0,0.088652726,1.560603124,0.113831896,0.014584471,0.338661193,0.051784593
