simulation id,uranium,neptunium,plutonium,americium,curium,pu238,pu239,pu240,pu241,pu242,am241
1,67.45502887,0.011932522,1.889114101,0.09604411,0.071867796,0.119199277,0.833813376,0.523291535,0.247227034,0.16558288,0.017583662
3,67.38729779,0.0121736,1.927969151,0.111812101,0.083594984,0.12803573,0.804170928,0.522523365,0.273020026,0.200219102,0.017798203
4,67.55211997,0.011562964,1.87792857,0.053128543,0.028299099,0.120210994,0.846005028,0.54410413,0.264534854,0.103073563,0.01956973
5,67.4862359,0.01191261,1.84927488,0.10586862,0.068681446,0.093285045,0.798577111,0.506487825,0.272152224,0.178772674,0.030968593
6,67.3509606,0.012305636,1.936889806,0.123171887,0.098694434,0.12784529,0.808306528,0.523843657,0.264848227,0.212046105,0.0169492
7,67.33604862,0.012344986,1.895273787,0.15218211,0.12871609,0.081446769,0.793987313,0.506703872,0.257182646,0.255953187,0.015377026
8,67.37250476,0.012215558,1.914122627,0.125998034,0.098264715,0.083834421,0.796067065,0.532725618,0.279215165,0.222280359,0.01712035
9,67.48393031,0.011794086,1.905435121,0.078233901,0.043555125,0.048926622,0.790042955,0.577231444,0.32602824,0.16320586,0.020117412
10,67.31174714,0.012414678,1.908133834,0.158185366,0.134835101,0.056287159,0.783349499,0.523627609,0.274683312,0.270186256,0.014118467
11,67.61002972,0.011402246,1.797899653,0.067316227,0.03490632,0.095434646,0.830490553,0.499286235,0.255471149,0.117217071,0.028794259
12,67.39428736,0.012195171,1.926015958,0.113494079,0.07800607,0.086998118,0.781939092,0.544824289,0.306117014,0.206137444,0.024108111
13,67.51526565,0.011697845,1.842372519,0.094522955,0.059356167,0.049133726,0.795636772,0.529004796,0.289701101,0.178896125,0.02190943
14,67.45218008,0.01192067,1.861865357,0.114704338,0.083212098,0.040756712,0.796616885,0.535174158,0.282107837,0.207209766,0.018710362
15,67.37960484,0.012290702,1.936647746,0.114619048,0.081156893,0.067030401,0.791046973,0.571878262,0.308985581,0.197706529,0.027335864
16,67.39464405,0.012141362,1.978330947,0.084703275,0.053380509,0.109967659,0.798242438,0.58052017,0.319953629,0.16964705,0.018660704
17,67.52981606,0.011630523,1.865254743,0.074699202,0.044265184,0.03505539,0.813087568,0.570053859,0.299222813,0.147835114,0.019393277
18,67.5107834,0.011696897,1.916880239,0.056214044,0.028974079,0.081380115,0.824753305,0.5865455,0.304212672,0.119988646,0.017920177
19,67.42781532,0.01199937,1.837345382,0.139100266,0.107012075,0.030939488,0.784807716,0.507183978,0.269910403,0.244503796,0.017851717
20,67.33165752,0.01247394,1.951875724,0.128436849,0.097288745,0.16780453,0.794728374,0.505119523,0.270223776,0.213999521,0.026364404
21,67.36740501,0.012249692,1.883566657,0.144093487,0.117384231,0.061902782,0.793413588,0.518394454,0.265932979,0.243922854,0.017953443
22,67.33632238,0.012331237,1.970089789,0.116610273,0.089794103,0.08546269,0.7930072,0.569237679,0.306695549,0.215686672,0.014898769
23,67.35783699,0.012331,1.878200882,0.150411594,0.123157049,0.100433717,0.796162686,0.490092205,0.247395773,0.244116502,0.022284032
24,67.40871865,0.012073566,1.873532306,0.126226181,0.102832984,0.074345708,0.817318788,0.519810766,0.248335891,0.213721153,0.015201778
25,67.46468715,0.011992732,1.907228929,0.088779609,0.048244204,0.115916554,0.784975052,0.534598031,0.308865053,0.162874239,0.032130488
26,67.27072957,0.012699847,1.904868005,0.17918548,0.154617142,0.135370082,0.782273765,0.466543006,0.241393478,0.279287674,0.025952197
27,67.49139921,0.011831066,1.911470425,0.070712831,0.038137936,0.106596857,0.810673142,0.557379061,0.299777242,0.137044123,0.024308188
28,67.33171281,0.012366794,1.974343653,0.11519558,0.088855423,0.131839785,0.800609053,0.545304395,0.288760982,0.207829437,0.016477692
29,67.47217437,0.01190218,1.904476746,0.081958156,0.051352212,0.145860989,0.818657479,0.521179068,0.269886298,0.148892911,0.023093743
30,67.3917199,0.012106753,1.862593815,0.143627529,0.112973098,0.066166275,0.780217918,0.492852814,0.26735521,0.256001598,0.014813676
32,67.50817603,0.011749047,1.896455202,0.069006778,0.039691061,0.069458521,0.821334862,0.576175211,0.296956886,0.132529723,0.021881708
33,67.4012794,0.012136384,1.866680201,0.138563834,0.104600996,0.054625563,0.777994734,0.511000821,0.280733818,0.242325265,0.021377176
34,67.33383576,0.012371298,1.902042911,0.150193801,0.123189314,0.118175658,0.78827397,0.486299367,0.255543466,0.25375045,0.018135441
35,67.38985816,0.012222195,1.978723693,0.087188934,0.053965985,0.139783547,0.800704674,0.564916725,0.309732854,0.163585893,0.024498623
36,67.45234674,0.01196002,1.861567558,0.113813072,0.083709304,0.086655325,0.809382262,0.511096842,0.258580771,0.195852357,0.021234952
37,67.46010045,0.011922803,1.938208866,0.07246998,0.038339444,0.128038111,0.800346096,0.553442192,0.309009686,0.147372781,0.02268033
39,67.30982039,0.012559988,1.935540784,0.146097763,0.117537602,0.175976821,0.794082934,0.47969791,0.250794662,0.234988457,0.02622218
40,67.42814351,0.012031845,1.847223087,0.131500699,0.104502996,0.103273665,0.812274791,0.479625894,0.232428606,0.219620131,0.018286343
41,67.38944647,0.012125716,1.92137255,0.114112355,0.088211294,0.069256177,0.803047384,0.553946303,0.28663969,0.208482996,0.013884401
42,67.29532765,0.012619013,1.975414129,0.134037159,0.105094494,0.166052475,0.795660677,0.519186628,0.27518953,0.219324819,0.026788664
43,67.37704467,0.012214372,1.870343568,0.146164577,0.118582947,0.057063205,0.791955371,0.511576948,0.26275104,0.246997004,0.018326599
44,67.46693912,0.011964998,1.843407127,0.114952817,0.083948976,0.115071473,0.818274996,0.487091542,0.237922272,0.185046844,0.026933299
45,67.37953326,0.012265575,1.856359745,0.152632359,0.122466854,0.0949395,0.790736206,0.477105338,0.245250374,0.248328328,0.023866571
46,67.50627562,0.011736958,1.931347577,0.049038487,0.022798309,0.142987714,0.836156086,0.56371646,0.286326317,0.102161001,0.019955904
47,67.54199984,0.011558935,1.868128432,0.068642142,0.033552477,0.028780366,0.789971239,0.571254124,0.326823725,0.151298978,0.019769808
48,67.48138569,0.011841733,1.870018374,0.098062822,0.061546697,0.057632147,0.787485098,0.538246837,0.301464634,0.185189659,0.023406153
49,67.3818905,0.012202046,1.888064407,0.135257214,0.106608898,0.044517918,0.792313949,0.538582911,0.280372234,0.232277396,0.019414731
51,67.45521392,0.012020941,1.92985262,0.078263787,0.045726548,0.150091156,0.817103641,0.541655589,0.28362649,0.137375744,0.028613466
52,67.54703924,0.011566994,1.828722271,0.081625439,0.054318964,0.098836395,0.835701887,0.503751221,0.24286392,0.147568849,0.01826971
53,67.54929182,0.011674851,1.840229718,0.077910146,0.042323709,0.080075595,0.813900344,0.531885432,0.281071296,0.13329705,0.032400471
54,67.32411646,0.012382676,1.931742632,0.142267822,0.113772926,0.092913686,0.778927037,0.520866999,0.286567373,0.252467537,0.016059941
56,67.55649691,0.01156415,1.814629799,0.085872163,0.053552984,0.058322495,0.818896531,0.518466469,0.265113389,0.153830915,0.023824628
57,67.38667257,0.012246374,1.853309859,0.152800881,0.117298754,0.067975463,0.773715703,0.488435839,0.268439962,0.254742892,0.026554839
58,67.32648725,0.012383388,1.906342814,0.153735013,0.123837426,0.097615193,0.773022452,0.494077085,0.274177094,0.267450989,0.017581733
60,67.5036544,0.011707564,1.893742732,0.070341345,0.043709097,0.119096915,0.827693645,0.53567827,0.27140495,0.139868952,0.01571764
61,67.38501375,0.012228121,1.975773628,0.089386883,0.060296958,0.141723663,0.812513843,0.563380386,0.2952936,0.162862136,0.022027548
62,67.35578314,0.012380069,1.944987394,0.117805739,0.09178373,0.148950891,0.816625537,0.52770851,0.260967226,0.19073523,0.024636025
63,67.49615202,0.011782945,1.847145492,0.097489639,0.069845343,0.113000429,0.829223578,0.497773901,0.239219153,0.167928431,0.019760889
64,67.32616636,0.012496696,1.920212292,0.1504689,0.115590868,0.064856995,0.767691593,0.534237952,0.301006627,0.252419125,0.028196437
65,67.56908699,0.011454633,1.867093919,0.050466577,0.024103224,0.104968588,0.83424367,0.541775616,0.276876922,0.109229124,0.017107815
66,67.44071432,0.012064084,1.929176085,0.084752642,0.053997989,0.15898236,0.820737232,0.531381321,0.272128118,0.145947053,0.026860982
67,67.39178883,0.012122635,1.890638055,0.131044051,0.097579852,0.066797111,0.774624101,0.516858114,0.291267965,0.241090764,0.016962458
68,67.37525339,0.012323414,1.931695298,0.115834577,0.086216148,0.172127537,0.811462014,0.503607189,0.255784522,0.188714038,0.026921246
69,67.31419086,0.012443361,1.932283391,0.145695493,0.12004002,0.054596997,0.785500967,0.550921635,0.291918816,0.249344976,0.018017805
70,67.42100852,0.012047016,1.896036838,0.113353567,0.079345725,0.093054136,0.786696227,0.519474692,0.287917286,0.208894496,0.020158151
72,67.54668989,0.011592832,1.799290695,0.100855454,0.065222883,0.05120239,0.801708692,0.497365811,0.266053507,0.182960295,0.023181005
73,67.44483956,0.012015252,1.858657511,0.123265099,0.085506173,0.050938153,0.778353312,0.520266867,0.29129207,0.217807109,0.025920859
74,67.31406409,0.012481762,1.891574521,0.167797375,0.136858079,0.063873844,0.766233376,0.502574961,0.278684842,0.280207498,0.022947662
75,67.53503469,0.011656361,1.870036864,0.067804963,0.038446663,0.11412403,0.82896062,0.531453337,0.269669347,0.12582953,0.023021185
76,67.41893838,0.012109123,1.932421312,0.094112291,0.062619696,0.156980351,0.809573503,0.522451349,0.275671642,0.167744466,0.023897427
77,67.33814229,0.01232294,1.877028567,0.164920285,0.132357252,0.019863213,0.755619467,0.515201749,0.295582867,0.290761271,0.017276555
78,67.59773508,0.011390156,1.821759597,0.060994927,0.032007391,0.042094558,0.831733624,0.551737815,0.278974109,0.117219491,0.022315611
79,67.26859906,0.012589382,1.937437191,0.161688874,0.141815866,0.132163535,0.791788034,0.493044857,0.252626688,0.267814078,0.014986514
81,67.33126939,0.012387891,1.918348814,0.146207363,0.116295059,0.087962225,0.777277578,0.515561828,0.283433645,0.254113538,0.019051458
82,67.4549882,0.012002688,1.887318618,0.100329198,0.067926329,0.128233313,0.810912194,0.511841007,0.26494465,0.171387454,0.026325835
83,67.57644487,0.011484739,1.853021797,0.053283869,0.027750328,0.14348286,0.84978205,0.513257319,0.247395773,0.099103796,0.021429244
84,67.41827674,0.012102723,1.846318241,0.138825396,0.108147213,0.081880022,0.797716524,0.48771568,0.248335891,0.230670124,0.022398534
85,67.4112995,0.012104619,1.919120027,0.105078241,0.075058156,0.086707696,0.803334246,0.551329725,0.289387728,0.188360631,0.020808763
86,67.38423408,0.012213187,1.871209446,0.145140236,0.112240249,0.04756497,0.777086336,0.515633844,0.281143613,0.249780682,0.021790589
87,67.33598651,0.012410885,1.887338519,0.15540404,0.133242922,0.095898845,0.804816368,0.499430267,0.240631741,0.246561297,0.0204385
88,67.32635038,0.012390736,1.899322017,0.15428048,0.131660667,0.081203957,0.795302099,0.509968593,0.256700534,0.256146834,0.016283641
89,67.50582729,0.011747625,1.887414758,0.074995707,0.044158912,0.086222072,0.8146175,0.551761821,0.290207318,0.144606047,0.02133716
90,67.63897713,0.011219719,1.786875883,0.057316152,0.029018808,0.04359428,0.839574529,0.529580923,0.26417327,0.10995288,0.021963667
91,67.28530446,0.012604316,1.92962662,0.160341263,0.134914831,0.112688582,0.785214104,0.505503607,0.265619606,0.260600719,0.022540517
92,67.49130271,0.011727239,1.858560095,0.093319818,0.067800099,0.086748165,0.8265701,0.51892257,0.253036483,0.173282776,0.013041666
94,67.37728727,0.012137095,1.873361922,0.140016426,0.120888521,0.079704236,0.816219149,0.503991274,0.235796158,0.237651106,0.009506083
95,67.357676,0.012265101,1.885166656,0.147924845,0.121553136,0.047850632,0.788560832,0.523795646,0.271935274,0.253024273,0.016432856
96,67.42095445,0.012075225,1.892264842,0.114935441,0.08340452,0.09839362,0.798146818,0.518274427,0.27441815,0.203031827,0.02115926
97,67.51534976,0.011687652,1.818456932,0.104604677,0.072410443,0.077230886,0.809693029,0.490812364,0.25272311,0.187997543,0.019638914
98,67.38267232,0.012247796,1.98275028,0.088324403,0.05646905,0.157154129,0.80505542,0.555794711,0.300765571,0.163980449,0.023541386
99,67.57159296,0.011512473,1.867674379,0.047006956,0.025169771,0.141861732,0.865798534,0.533757846,0.242719286,0.083536981,0.020801532
100,67.42330646,0.012084944,1.891642912,0.112988949,0.084370268,0.09148776,0.811246867,0.529941003,0.266632042,0.19233524,0.02183422
102,67.36773486,0.012211054,1.910752191,0.127630741,0.104878735,0.096348762,0.810003797,0.524299757,0.259448573,0.220651302,0.013738321
103,67.35066763,0.012264864,1.884329966,0.148929494,0.127840349,0.09377543,0.804314359,0.494605201,0.241176528,0.250458447,0.012420703
104,67.52076624,0.011675799,1.902738583,0.057173929,0.02879591,0.141987899,0.827980507,0.537214609,0.278733053,0.116822515,0.020032078
105,67.42865409,0.012034453,1.975363224,0.069660948,0.036794202,0.126921652,0.801613072,0.579079852,0.32202671,0.145721939,0.021128887
106,67.37467966,0.01228359,1.852391578,0.15607904,0.126757502,0.094722873,0.792242233,0.473744596,0.240376222,0.251305654,0.02398493
107,67.56374242,0.011515081,1.798699753,0.088540185,0.060517631,0.056587103,0.837566492,0.51049671,0.240460592,0.153588856,0.02009644
109,67.3797061,0.012222432,1.894807346,0.130679588,0.107539931,0.097348576,0.815525898,0.5176983,0.248576947,0.215657625,0.017931989
110,67.29966722,0.012532017,1.904827803,0.165369047,0.141408852,0.088026499,0.786385459,0.503055067,0.2591352,0.268225578,0.020500693
111,67.30939911,0.012456872,1.905286553,0.162725285,0.13425339,0.081284894,0.770727553,0.499766341,0.275478797,0.278028967,0.018155208
112,67.46225942,0.011994629,1.900535972,0.092526238,0.054176731,0.119613486,0.791955371,0.526820314,0.295992662,0.166154139,0.030479247
113,67.32424273,0.012449998,1.963024872,0.127262566,0.097087999,0.120651388,0.788058823,0.538558906,0.293630314,0.222125441,0.021880985
114,67.36750993,0.012290228,1.920224764,0.129427957,0.094313797,0.068273027,0.774385049,0.542063679,0.305827747,0.229675262,0.023902248
115,67.44997925,0.01194793,1.890663876,0.100699292,0.070856118,0.076090622,0.807804518,0.542735828,0.281336458,0.182696451,0.01947837
116,67.52051135,0.011736721,1.872385882,0.072744198,0.045484918,0.129028403,0.840602453,0.525596044,0.252578477,0.124580506,0.02406014
117,67.50863062,0.011786975,1.887520677,0.070356163,0.042442024,0.168973361,0.839407193,0.50968053,0.248384102,0.121075491,0.024809586
118,67.42609272,0.012042038,1.918118044,0.096185783,0.070146919,0.134996342,0.823295088,0.528140605,0.261690394,0.169995615,0.01843387
119,67.49090698,0.011753077,1.810215985,0.120186547,0.089961643,0.042389742,0.808019665,0.498109975,0.249444749,0.212251855,0.016564714
120,67.47689111,0.011916403,1.886730109,0.090631075,0.055499849,0.13681029,0.804266549,0.508744323,0.275237741,0.161671206,0.027316579
122,67.41861223,0.012058158,1.872242026,0.121984263,0.097786474,0.118285161,0.82229107,0.494029074,0.233549516,0.204087205,0.016846992
123,67.35545144,0.012381254,1.924436585,0.131928644,0.099669808,0.095901226,0.788178349,0.532941665,0.286422739,0.220992605,0.026672957
125,67.43784559,0.0120034,1.915178768,0.095779737,0.062274766,0.059286602,0.793580924,0.569861817,0.311878253,0.180571173,0.022098659
126,67.48858741,0.011826799,1.821858571,0.115891581,0.084404352,0.075078905,0.811724971,0.492492735,0.245925331,0.196636629,0.022370813
