simulation id,uranium,neptunium,plutonium,americium,curium,pu238,pu239,pu240,pu241,pu242,am241
1,67.15990808,0,4.678890577,0.161201345,0,0.352263872,3.576473215,0.206321948,0.057843807,0.485987735,0.161201345
3,66.21211745,0,5.67343615,0.114446398,0,0.510273726,3.190623209,0.842570757,0.520740679,0.609227778,0.114446398
4,67.98596515,0,3.888113227,0.125921619,0,0.290333378,3.054470715,0.312465501,0.153585921,0.077257712,0.125921619
5,67.44830043,0,4.247612362,0.304087203,0,0.088636235,2.582779562,0.547344597,0.778689329,0.250162639,0.304087203
6,65.54071666,0,6.305930275,0.15335306,0,0.564798735,3.810056451,0.799637488,0.253881988,0.877555615,0.15335306
7,65.5784062,0,6.313263707,0.108330095,0,0.325260994,3.694300183,0.661721542,0.444975635,1.187005353,0.108330095
8,65.69873047,0,6.192907305,0.108362222,0,0.324561057,3.590662607,1.05070243,0.385248147,0.841733065,0.108362222
9,66.94159024,0,5.009438446,0.048971314,0,0.115994062,2.764586232,1.429984782,0.528190604,0.170682767,0.048971314
10,64.50572616,0,7.453895887,0.040377955,0,0.27324201,4.051524473,1.251112742,0.413687122,1.46432954,0.040377955
11,68.51769817,0,3.290128127,0.192173702,0,0.105246323,2.43514552,0.125085021,0.608187424,0.016463838,0.192173702
12,65.49192432,0,6.288256364,0.219819312,0,0.251467078,3.066841158,1.658726659,0.792145377,0.519076092,0.219819312
13,67.69373619,0,4.204486716,0.101777095,0,0.054488271,2.518541996,0.697183252,0.689342037,0.244931159,0.101777095
14,66.92149191,0,4.97549219,0.103015895,0,0.051574071,3.146229518,0.784392883,0.440764783,0.552530935,0.103015895
15,63.88879963,0,7.645969202,0.465231164,0,0.049413514,4.632873029,2.129455867,0.097021146,0.737205646,0.465231164
16,64.89783452,0,7.024495914,0.07766957,0,0.554574838,3.720929846,2.08454855,0.268327873,0.396114808,0.07766957
17,67.53756079,0,4.374771678,0.087667531,0,0.028722809,3.086271648,0.828520161,0.227082335,0.204174726,0.087667531
18,67.26004662,0,4.664952592,0.075000787,0,0.237476164,3.304377257,0.979404767,0.031608989,0.112085415,0.075000787
19,66.92532566,0,4.991376553,0.083297791,0,0.016101586,2.898867508,0.629661478,0.712811184,0.733934797,0.083297791
20,65.04799149,0,6.542178075,0.409830432,0,0.650868065,3.130161118,1.1106357,0.936122487,0.714390704,0.409830432
21,65.82723209,0,6.011673936,0.161093971,0,0.159172671,3.687537243,0.766077056,0.381536789,1.017350177,0.161093971
22,63.28310246,0,8.707326426,0.009571117,0,0.575038278,4.704173311,2.309084155,0.028659742,1.09037094,0.009571117
23,66.1204026,0,5.589062224,0.290535179,0,0.247213053,3.351158012,0.411694993,0.63039847,0.948597696,0.290535179
24,66.6317613,0,5.240020566,0.128218139,0,0.219503271,3.864037881,0.281846648,0.036111006,0.83852176,0.128218139
25,66.94467735,0,4.759291893,0.296030756,0,0.217029636,2.264958164,1.23040436,0.994276606,0.052623126,0.296030756
26,64.70591684,0,6.787557644,0.506525513,0,0.419340214,3.198698812,0.585349737,1.204456314,1.379712566,0.506525513
27,67.19419797,0,4.628816662,0.176985366,0,0.261022627,2.876654744,0.969566617,0.427090719,0.094481954,0.176985366
28,64.2876604,0,7.615482163,0.09685744,0,0.76184185,4.04147472,1.617311067,0.290469704,0.904384822,0.09685744
29,67.35392241,0,4.460129344,0.185948245,0,0.403236753,2.799111959,0.535197575,0.522908675,0.199674382,0.185948245
30,66.72070655,0,5.278943541,0.000349907,0,0.239522666,2.585279941,0.682078714,0.972103979,0.799958241,0.000349907
32,67.20544803,0,4.632195788,0.162356179,0,0.128123096,3.375922985,0.891215283,0.064413853,0.172520572,0.162356179
33,66.41794872,0,5.43018684,0.151864441,0,0.082998684,2.789801431,0.948889672,0.892064915,0.716432139,0.151864441
34,65.89972452,0,5.958977777,0.141297701,0,0.466068423,2.919105108,0.651955827,0.943989816,0.977858603,0.141297701
35,64.93122779,0,6.790898739,0.27787347,0,0.585839647,3.592975968,1.875830468,0.424159547,0.312093108,0.27787347
36,67.15985294,0,4.655345567,0.184801488,0,0.182584147,3.104453764,0.397740933,0.46191675,0.508649973,0.184801488
37,66.88985285,0,4.987352088,0.122795062,0,0.414434986,2.593300949,1.232824009,0.663659446,0.083132699,0.122795062
39,65.26538783,0,6.298496076,0.43611609,0,0.654369362,2.975096773,0.690881592,1.087519676,0.890628674,0.43611609
40,67.25161804,0,4.591278902,0.157103054,0,0.269692816,3.0714601,0.021781597,0.545947505,0.682396884,0.157103054
41,65.6772674,0,6.296853824,0.02587878,0,0.313579896,3.956453689,1.15189364,0.058905484,0.816021116,0.02587878
42,63.15830253,0,8.260901849,0.58079562,0,0.784862654,4.106250656,1.617116749,0.712879769,1.03979202,0.58079562
43,66.11649438,0,5.723496373,0.160009251,0,0.118920857,3.498253444,0.660690766,0.473136387,0.97249492,0.160009251
44,67.46656283,0,4.230695573,0.302741598,0,0.188504267,3.010632962,0.073410246,0.526611891,0.431536206,0.302741598
45,66.56115405,0,5.15480393,0.284042016,0,0.182100605,2.943500925,0.336145649,0.85641441,0.836642341,0.284042016
46,67.45086081,0,4.422908186,0.126231008,0,0.429787687,3.123206412,0.70383813,0.134987604,0.031088353,0.126231008
47,67.74407523,0,4.23863543,0.017289341,0,0.036251462,2.379732626,1.124358057,0.637380416,0.060912868,0.017289341
48,67.23283687,0,4.638256937,0.128906194,0,0.08118053,2.540638909,0.999646597,0.752518707,0.264272194,0.128906194
49,65.59869749,0,6.21328514,0.188017366,0,0.050523599,3.91032912,1.06376745,0.245310577,0.943354394,0.188017366
51,66.8027684,0,4.871647018,0.325584586,0,0.386310615,3.098715843,0.849324991,0.404164542,0.133131027,0.325584586
52,68.13200366,0,3.761377185,0.106619159,0,0.216250422,2.862674369,0.04769129,0.386511108,0.248249996,0.106619159
53,67.88462469,0,3.830623072,0.284752235,0,0.03072231,2.681944189,0.529393458,0.53438807,0.054175045,0.284752235
54,64.74724579,0,7.223978307,0.028775899,0,0.492617109,3.205437044,1.537377409,0.908683762,1.079862983,0.028775899
56,68.07612066,0,3.765007572,0.15887177,0,0.040964206,2.738023456,0.300260485,0.487232174,0.198527251,0.15887177
57,66.3963873,0,5.310604514,0.293008184,0,0.039809322,2.619496812,0.778031042,1.115591288,0.757676051,0.293008184
58,65.49138099,0,6.44166533,0.066953676,0,0.428321294,2.604690367,1.142443799,1.250244241,1.015965629,0.066953676
