simulation id,uranium,neptunium,plutonium,americium,curium,pu238,pu239,pu240,pu241,pu242,am241
1,54.41115358,0.031520273,11.43296046,0.345759833,0.044830282,0.527116329,6.41376516,3.221751313,0.610353792,0.659973864,0.231284549
2,54.9175437,0.032167414,10.76886063,0.524447557,0.038882946,0.334175994,6.717600252,2.616337647,0.69626615,0.404480589,0.435180202
3,54.43506296,0.032103411,11.32714109,0.414259971,0.057070468,0.583653442,6.687718752,2.796377397,0.452100528,0.807290971,0.266102822
4,54.38522829,0.0302734,11.6667531,0.171560623,0.037852246,0.163329172,6.988446168,3.465165055,0.400731494,0.649081209,0.068272164
5,55.08044304,0.03106277,10.63974669,0.470098404,0.059948084,0.386785265,7.63412562,1.426226889,0.259761946,0.932846974,0.30373182
6,55.33829962,0.029107124,10.63744585,0.246025416,0.021805934,0.475459262,7.8170004,1.710089561,0.325763078,0.309133549,0.189425001
7,54.85943572,0.031996739,10.82571888,0.502729784,0.066790162,0.328677016,7.59826782,1.740528282,0.187734413,0.970511355,0.32077455
8,55.13302775,0.031247667,10.52879394,0.527444753,0.061356402,0.371383365,7.424477016,1.401861509,0.392270429,0.938801626,0.36001863
9,55.08274457,0.030678752,10.82556484,0.330279792,0.019719818,0.226743578,7.444557384,2.561845616,0.450702403,0.141715862,0.288665758
10,55.12918675,0.029095272,10.95393537,0.159410856,0.012202886,0.319988154,7.67715498,2.462223621,0.340684445,0.153884168,0.130238276
11,54.58385163,0.030572081,11.26463017,0.335215196,0.073285971,0.253690951,7.295627988,2.229084147,0.242164858,1.244062231,0.129334312
12,54.47308877,0.032833518,11.19142563,0.504420248,0.066072498,0.594960864,6.825412704,2.502312472,0.381181853,0.887557735,0.33333362
13,54.58914183,0.031148107,11.33529786,0.295568426,0.036657124,0.257118885,7.08430602,3.076279195,0.402250147,0.515343611,0.200489517
14,54.30125491,0.033947644,11.30215275,0.585570063,0.059832304,0.315965092,6.33368274,3.324974103,0.644149843,0.683380969,0.441206627
15,54.96578106,0.029853825,11.08873982,0.187027893,0.016880561,0.273901481,7.69627914,2.654025968,0.262317139,0.202216089,0.144629379
16,55.33874229,0.028936449,10.57097497,0.312880118,0.039429244,0.17377723,7.697235348,1.555063334,0.42847704,0.716422022,0.2003714
17,55.16019218,0.030112207,10.7290167,0.324121834,0.035814244,0.406162616,7.773014832,1.765541804,0.255471149,0.528826297,0.226767141
18,54.41770116,0.032475576,11.19799917,0.552511976,0.090665553,0.204840505,6.709233432,2.455262084,0.470203834,1.358459314,0.312096498
19,55.29818749,0.029050232,10.64660136,0.283863222,0.034108561,0.195458915,7.756759296,1.723028418,0.37906056,0.592294167,0.188019639
20,55.01422541,0.031010619,10.73892869,0.437280484,0.051714604,0.498454989,7.33650588,1.759252416,0.367899667,0.776815743,0.297512549
21,54.35965202,0.031719393,11.32793981,0.468565283,0.083758276,0.430562844,6.36954054,2.623539237,0.582993936,1.321303257,0.245829929
22,54.97873963,0.029685521,10.80642211,0.401616733,0.073713124,0.180085582,7.23251826,1.581397148,0.441084269,1.371336853,0.188002765
23,54.60427269,0.032975747,10.79060984,0.742065766,0.117573328,0.258142504,6.636561624,1.561016648,0.520656854,1.814232205,0.425417394
24,54.66899844,0.03318672,10.72067081,0.735955169,0.104410707,0.629073573,6.552893424,1.451288422,0.52468249,1.562732904,0.457140495
25,54.45415295,0.031342487,11.44525323,0.302305659,0.036568199,0.491884781,6.621262296,3.271202231,0.539169955,0.521733969,0.209567724
26,54.45280509,0.032354682,11.1814009,0.523345068,0.085362916,0.438989849,6.774016524,2.282207876,0.406348099,1.279838551,0.295849256
27,54.71368758,0.030368219,11.12190576,0.359490243,0.058366672,0.27968612,6.761107716,2.507593638,0.572628528,1.000889759,0.199363781
28,54.49947053,0.030894466,11.35930573,0.336802848,0.068137579,0.157282676,7.152674892,2.619698389,0.313927229,1.115722549,0.149192588
29,55.0198607,0.031638797,10.72290869,0.471340425,0.044043711,0.231578393,7.439059188,2.116715338,0.390317875,0.545237898,0.359295459
30,54.47456134,0.030711939,11.32828597,0.364478919,0.078615537,0.394069625,6.806766648,2.383342205,0.413097667,1.331009823,0.147577506
31,54.36966097,0.03219823,11.2465952,0.543966003,0.098836469,0.187286624,6.630824376,2.415173233,0.486402797,1.526908172,0.280204657
32,54.65908456,0.032807443,11.03867815,0.515747032,0.032684887,0.366765176,6.279417936,3.304569598,0.816553094,0.271372345,0.447257158
33,54.38463558,0.031221592,11.42399547,0.370259238,0.079137231,0.206514004,7.034583204,2.596893354,0.311709514,1.2742954,0.154375313
34,55.15163762,0.029209055,10.73019925,0.329437986,0.050539176,0.172822645,7.43093142,1.728021521,0.453667392,0.944756277,0.183461251
35,54.25024743,0.031501309,11.44748294,0.464200944,0.095039525,0.186417738,6.27750552,2.822303121,0.632048832,1.529207733,0.211399757
36,54.24883111,0.033923939,11.14546697,0.724150267,0.119393816,0.491860976,6.415916628,2.077442667,0.467528112,1.692718587,0.413726129
37,54.91716702,0.028779998,11.0667023,0.214639041,0.06006926,0.239645942,7.710383208,1.745617405,0.178092173,1.192963576,0.033504512
38,54.48691636,0.03111492,11.38193454,0.322096141,0.054897975,0.417065352,6.932268948,2.787495436,0.383544202,0.861560599,0.174233589
39,54.6383973,0.030171469,11.13625747,0.392491755,0.091963504,0.197082423,7.116338988,1.845983565,0.336200803,1.640651696,0.130838508
40,54.64722443,0.0329876,11.00972496,0.533196566,0.053359077,0.464604137,6.901670292,2.565686464,0.448822166,0.6289419,0.400202831
41,53.93851524,0.034134912,11.59831531,0.614167853,0.104111801,0.232928142,6.420219564,3.104125343,0.46200793,1.379034329,0.351629846
42,54.74352759,0.030022129,11.34772932,0.150913298,0.010254399,0.33210495,7.203114864,3.282484722,0.418208054,0.111816734,0.128507487
43,54.64513472,0.030408517,11.13988105,0.383882806,0.071074923,0.453891842,6.635366364,2.257194354,0.555272496,1.238155991,0.187033716
44,54.16455243,0.032060742,11.50611377,0.485306271,0.094218515,0.277829322,6.23089038,2.93104713,0.614186582,1.452160353,0.23852108
45,54.86983851,0.030970321,10.77038884,0.515046388,0.085442545,0.465151654,7.077612564,1.374039367,0.396971021,1.456614238,0.274443395
46,55.212454,0.029479289,10.83861698,0.199411397,0.011516758,0.234235042,7.933896828,2.32887418,0.271019261,0.070591666,0.175142374
47,53.9335686,0.032361793,11.74914624,0.470636879,0.107630636,0.141730804,6.383644608,3.128130643,0.491031072,1.604609111,0.192158588
48,54.43237027,0.032321495,11.32557467,0.426580573,0.052231379,0.531115586,6.618871776,2.970415822,0.504168624,0.701002864,0.293848483
49,54.81004376,0.031152848,10.97685633,0.4203121,0.039810611,0.34274583,6.526358652,2.809100206,0.743416704,0.555234934,0.322052152
50,54.28820812,0.032110522,11.46299649,0.423255517,0.064381747,0.459628871,6.374082528,3.102444972,0.580655693,0.946184425,0.256870339
51,55.06766427,0.030244954,10.85853124,0.312397286,0.027523907,0.116190313,7.494997356,2.462223621,0.430116221,0.355003729,0.243515781
52,54.78722272,0.032613064,10.91898,0.514418122,0.039633969,0.196132599,6.888044328,2.858791177,0.586175875,0.38983602,0.422548815
53,54.94414277,0.030247325,11.0596828,0.232852903,0.01963812,0.276900923,7.586076168,2.671309784,0.305514374,0.219881554,0.184741264
54,54.90153862,0.030882613,10.76396211,0.511244916,0.084344784,0.157899228,7.260248292,1.516246764,0.386581507,1.442986317,0.272924735
55,54.77037117,0.030541264,11.13443484,0.293961311,0.041570438,0.52021285,7.205266332,2.414453074,0.342468259,0.652034328,0.181012112
56,54.37797276,0.032871446,11.17222152,0.596649199,0.099901437,0.394759973,6.682220556,2.199989724,0.418400899,1.476850371,0.332128335
57,54.89956451,0.030652677,10.89910858,0.408490143,0.056538218,0.140640531,7.197616668,2.181649675,0.460079482,0.919122229,0.25344733
58,54.52066008,0.033791192,10.9393061,0.711740028,0.082011504,0.220085291,6.290175276,2.622579025,0.726132989,1.080333523,0.505231366
59,54.82104666,0.032532468,10.8950783,0.485327011,0.0305397,0.612410003,6.759434352,2.714039218,0.586706198,0.22248853,0.42011414
60,54.67191827,0.03269129,10.92033802,0.590767164,0.074479737,0.237824852,6.867485856,2.270397269,0.493730899,1.050899149,0.39567096
61,55.1735175,0.032629657,10.32455922,0.68813207,0.061739326,0.366622345,7.13450694,1.476926083,0.563757667,0.782746188,0.531434262
62,54.58628616,0.030377701,11.20241392,0.381432197,0.082645664,0.264903153,6.897367356,2.167222489,0.427223549,1.445697378,0.149903706
63,55.13749978,0.029569368,10.83320146,0.26677557,0.026112115,0.151893202,7.547110692,2.315911318,0.429103786,0.38918246,0.198770781
64,54.46261713,0.033179609,11.1643043,0.546821595,0.068572253,0.469365157,6.792901632,2.587291234,0.418183949,0.89656233,0.370962617
65,55.1533718,0.030939505,10.51251818,0.511646889,0.058954933,0.551897438,7.212676944,1.349770008,0.473000083,0.925173704,0.350978992
66,54.21923417,0.033558885,11.40672763,0.558823558,0.070984174,0.233159052,6.362608032,3.290886577,0.606979008,0.91309496,0.38171376
67,53.96089057,0.034179951,11.5030732,0.66139772,0.120777482,0.396664381,6.448666752,2.622098919,0.395693424,1.639949725,0.35367883
68,54.68493061,0.031503679,11.09531013,0.428879189,0.041899944,0.263665288,6.432172164,3.066917128,0.757108685,0.575446861,0.325860853
69,54.97233854,0.03303738,10.45602482,0.733386371,0.080409086,0.43670456,6.869398272,1.456473567,0.563420189,1.130028236,0.522249991
70,54.55623641,0.030991656,11.09253375,0.511956242,0.101846741,0.119844395,6.619110828,2.060758984,0.561298896,1.731520645,0.231041082
71,54.14492996,0.031145737,11.73833757,0.289318245,0.06562736,0.478268264,6.46755186,3.245996666,0.487270598,1.059250184,0.115111949
72,54.72942166,0.032738699,10.80389501,0.618821464,0.077178084,0.639738257,6.730748112,1.837533699,0.493489843,1.102385098,0.415606374
73,55.17198347,0.029327579,10.71875117,0.311746232,0.047432851,0.379524709,7.627432164,1.524528592,0.322243661,0.865022042,0.174158861
74,55.20761336,0.029626259,10.77273928,0.262047503,0.01634819,0.232816259,7.525117908,2.384710507,0.470517206,0.159577396,0.226574295
75,53.98222264,0.031302188,11.86027934,0.324761101,0.091026095,0.184865646,6.602377188,3.225592161,0.406830211,1.440614139,0.084225316
76,54.57384799,0.031465752,11.2015684,0.430414125,0.054689014,0.149929281,6.459902196,3.056834902,0.70831895,0.826583073,0.289171977
