simulation id,uranium,neptunium,plutonium,americium,curium,pu238,pu239,pu240,pu241,pu242,am241
1,54.03377403,0.030792535,11.78309377,0.371185438,0.045996777,0.570941518,6.472811004,3.383787088,0.65167079,0.703883366,0.251301923
2,55.15001965,0.032582248,10.56605079,0.495164313,0.037829047,0.318702679,6.656881044,2.540961005,0.660589862,0.388916195,0.408784461
3,54.03156571,0.031389896,11.69386473,0.447013035,0.058639955,0.634596356,6.779275668,2.932007342,0.48112367,0.866861691,0.291124539
4,54.34012529,0.030169099,11.71105979,0.172593777,0.037930862,0.164838415,7.002311184,3.486529772,0.402828682,0.654551742,0.068713298
5,55.57132754,0.032105781,10.20235569,0.418555728,0.057889921,0.345340586,7.378818084,1.402773711,0.23765711,0.837766199,0.263909204
6,56.21029911,0.031489456,9.821801146,0.194662667,0.020022992,0.373216358,7.311644472,1.608907222,0.272079907,0.255953187,0.145301928
7,55.09906279,0.032442389,10.61221548,0.476851407,0.065660886,0.313132285,7.47874182,1.713354282,0.183725652,0.923261438,0.301080193
8,55.61914185,0.032252751,10.10331516,0.468043513,0.059117183,0.332462027,7.196899512,1.378864432,0.35013384,0.844955351,0.312241132
9,55.71825325,0.032112893,10.24140331,0.27924515,0.01795034,0.198465499,7.14885006,2.366298442,0.398152195,0.129637118,0.24156322
10,55.90672812,0.031219222,10.20227821,0.132177798,0.011275414,0.261070532,7.266463644,2.240558681,0.300355776,0.13382958,0.106098828
11,54.60046594,0.030605267,11.24993816,0.334332426,0.073231055,0.252857772,7.289412636,2.2256994,0.241803274,1.240165081,0.128881125
12,54.03160176,0.032141338,11.58239056,0.549551503,0.068160575,0.650331527,6.942309132,2.623299184,0.40639631,0.960054406,0.368527942
13,54.67932203,0.031335375,11.25025166,0.290320105,0.036416392,0.252453086,7.053468312,3.040271245,0.397308499,0.506750517,0.196391548
14,53.42020146,0.032826407,12.0720855,0.69421471,0.06443421,0.363480072,6.46277082,3.715300281,0.745779053,0.784755278,0.533507352
15,55.60607177,0.031453899,10.47254679,0.161945888,0.015907221,0.235318175,7.361845392,2.449740865,0.247010083,0.17863228,0.123452521
16,56.16120447,0.031228704,9.80783201,0.254112983,0.037354229,0.14292582,7.236343092,1.487944515,0.348687504,0.591931079,0.154814037
17,55.84769926,0.031773914,10.09549609,0.273616627,0.0338599,0.341817431,7.389814476,1.680154952,0.229437101,0.454272125,0.186074309
18,53.85018269,0.031529754,11.70082379,0.612868298,0.093703684,0.223965522,6.85003506,2.605775315,0.517643654,1.503404243,0.35502875
19,56.11356665,0.031302188,9.882244995,0.231190651,0.032201914,0.160441613,7.289412636,1.625854964,0.315301248,0.491234535,0.146586762
20,55.43396179,0.03190429,10.36174237,0.3960879,0.050086176,0.450678153,7.15602162,1.705936645,0.337888195,0.711217754,0.264608269
21,53.69490599,0.030484373,11.93167589,0.52611008,0.086798433,0.492241858,6.470420484,2.826624075,0.657890035,1.484499435,0.284929374
22,55.37486589,0.030678752,10.44264403,0.37028753,0.072338317,0.165012192,7.069723848,1.546613468,0.40256352,1.258731006,0.168151721
23,54.08433365,0.032191118,11.22800665,0.820937171,0.121041252,0.280923985,6.761824872,1.606290644,0.582246662,1.996720485,0.483246968
24,54.1919723,0.032501651,11.11835663,0.810260198,0.107511358,0.693466368,6.652578108,1.483503535,0.582825197,1.70598342,0.514319215
25,54.25005087,0.030937134,11.63687199,0.314343971,0.037109579,0.514023524,6.664291656,3.360742,0.557369683,0.540445129,0.21919313
26,53.95190596,0.031501309,11.62862791,0.57408207,0.087911382,0.484624226,6.90382176,2.397865412,0.440819107,1.401497404,0.331863172
