simul	U	Np	Pu	Am	Cm	MA	Pu-238	Pu-239	Pu-240	Pu-241	Pu-242
1	5.823600E+07	2.220277E+04	1.129105E+07	2.451772E+05	1.600469E+04	2.833847E+05	7.410169E+05	5.921876E+06	2.431918E+06	4.698945E+05	1.726274E+06
2	5.823060E+07	2.232363E+04	1.126240E+07	2.756968E+05	1.797519E+04	3.159956E+05	7.796426E+05	6.242332E+06	3.147981E+06	2.573368E+05	8.350733E+05
3	5.841487E+07	1.983030E+04	1.123195E+07	1.313404E+05	7.674181E+03	1.588449E+05	1.475432E+05	8.105700E+06	2.027996E+06	9.620541E+04	8.544779E+05
4	5.836823E+07	2.024105E+04	1.109444E+07	3.096602E+05	1.682813E+04	3.467293E+05	3.274429E+04	6.646170E+06	3.052911E+06	8.884877E+05	4.741146E+05
5	5.857160E+07	1.957184E+04	1.098817E+07	2.127884E+05	1.093469E+04	2.432950E+05	4.581017E+05	8.916794E+06	5.868915E+05	9.540238E+04	9.309531E+05
6	5.850291E+07	2.386241E+04	1.040241E+07	8.376686E+05	4.325681E+04	9.047878E+05	8.830467E+05	5.771506E+06	1.625192E+06	1.357684E+06	7.649443E+05
7	5.845905E+07	2.110711E+04	1.088603E+07	4.205658E+05	2.206572E+04	4.637386E+05	3.040330E+05	6.773628E+06	1.319322E+06	9.640516E+05	1.524942E+06
8	5.845652E+07	2.455339E+04	1.055086E+07	7.346437E+05	4.081527E+04	8.000124E+05	9.633600E+05	6.835016E+06	1.986130E+06	4.469169E+05	3.194156E+05
9	5.838086E+07	2.082517E+04	1.105823E+07	3.307839E+05	1.828580E+04	3.698948E+05	1.484799E+05	6.803448E+06	2.506160E+06	7.479654E+05	8.521433E+05
10	5.858710E+07	2.311165E+04	1.032619E+07	8.305477E+05	3.944568E+04	8.931050E+05	2.221704E+05	7.467178E+06	1.448059E+06	1.120884E+06	6.789410E+04
11	5.856313E+07	2.154749E+04	1.064161E+07	5.542627E+05	2.735945E+04	6.031697E+05	9.060541E+05	6.607039E+06	2.723956E+05	1.153735E+06	1.702328E+06
12	5.854973E+07	2.177024E+04	1.073724E+07	4.721533E+05	2.405594E+04	5.179795E+05	5.237361E+05	8.123086E+06	7.504442E+05	3.745234E+05	9.654132E+05
13	5.846246E+07	2.414932E+04	1.044273E+07	8.371818E+05	4.356948E+04	9.049006E+05	1.453420E+05	6.351195E+06	1.790657E+06	1.250054E+06	9.054567E+05
14	5.848427E+07	2.482967E+04	1.042238E+07	8.324988E+05	4.393828E+04	9.012668E+05	3.794473E+05	7.080180E+06	1.538460E+06	7.266031E+05	6.976649E+05
15	5.858214E+07	2.008854E+04	1.072782E+07	4.545236E+05	2.139406E+04	4.960062E+05	2.743382E+05	7.660252E+06	8.990483E+05	1.032804E+06	8.613522E+05
16	5.829610E+07	2.469550E+04	1.076848E+07	6.807483E+05	4.130885E+04	7.467526E+05	7.944090E+05	5.533772E+06	2.790302E+06	8.025914E+05	8.473706E+05
17	5.807655E+07	2.459092E+04	1.136383E+07	3.227397E+05	2.355543E+04	3.708861E+05	5.473583E+05	5.652396E+06	2.798524E+06	2.711965E+05	2.094272E+06
18	5.854779E+07	2.610970E+04	1.009079E+07	1.089962E+06	5.421836E+04	1.170290E+06	4.636531E+05	6.563247E+06	7.979707E+05	1.238072E+06	1.027809E+06
19	5.841279E+07	2.008861E+04	1.119123E+07	1.720910E+05	9.873055E+03	2.020526E+05	7.405092E+05	7.421050E+06	2.420449E+06	1.802916E+05	4.289041E+05
20	5.863026E+07	1.960268E+04	1.071882E+07	4.170668E+05	1.923404E+04	4.559035E+05	7.865490E+05	7.652449E+06	6.168166E+05	9.740102E+05	6.889724E+05
21	5.856674E+07	2.377969E+04	1.038363E+07	7.942410E+05	3.928311E+04	8.573038E+05	7.383684E+05	6.844483E+06	3.573066E+05	1.056081E+06	1.387338E+06
22	5.828328E+07	2.403633E+04	1.084753E+07	6.208211E+05	3.696962E+04	6.818270E+05	3.278232E+05	5.483756E+06	2.611373E+06	1.046302E+06	1.378221E+06
23	5.829939E+07	2.616489E+04	1.049283E+07	9.379137E+05	5.603915E+04	1.020118E+06	4.275817E+05	5.439289E+06	3.233277E+06	1.030491E+06	3.621739E+05
24	5.855611E+07	2.566687E+04	1.004056E+07	1.130860E+06	5.562403E+04	1.212151E+06	4.032855E+05	6.455717E+06	1.676151E+06	1.404157E+06	1.012475E+05
25	5.854133E+07	2.213916E+04	1.057625E+07	6.358254E+05	3.155538E+04	6.895199E+05	4.346045E+05	7.180585E+06	1.448771E+06	9.699837E+05	5.422836E+05
26	5.856975E+07	2.154162E+04	1.059679E+07	5.900216E+05	2.814811E+04	6.397113E+05	5.218982E+04	7.768291E+06	6.487088E+05	9.987663E+05	1.128804E+06
27	5.825464E+07	2.302802E+04	1.120364E+07	3.078285E+05	2.011514E+04	3.509716E+05	6.972176E+05	6.402185E+06	2.232185E+06	2.258755E+05	1.646114E+06
28	5.852877E+07	2.065335E+04	1.079088E+07	4.444373E+05	2.224088E+04	4.873315E+05	5.836679E+05	7.128055E+06	1.524311E+06	8.987694E+05	6.560515E+05
29	5.860832E+07	2.369775E+04	1.026277E+07	8.709798E+05	4.163684E+04	9.363144E+05	8.885820E+05	6.702935E+06	4.878866E+05	1.259005E+06	9.243278E+05
30	5.847748E+07	2.456098E+04	1.040812E+07	8.538271E+05	4.482679E+04	9.232149E+05	3.538346E+05	6.693713E+06	1.870869E+06	9.660590E+05	5.236240E+05
31	5.814562E+07	2.664559E+04	1.095135E+07	6.437714E+05	4.392165E+04	7.143386E+05	6.297213E+05	5.659765E+06	2.692080E+06	3.366207E+05	1.633095E+06
32	5.851387E+07	2.533740E+04	1.024828E+07	9.715901E+05	4.992121E+04	1.046849E+06	5.671677E+05	6.467655E+06	1.385618E+06	1.108487E+06	7.193194E+05
33	5.847391E+07	2.223451E+04	1.073088E+07	5.532135E+05	2.915290E+04	6.046009E+05	7.258465E+05	6.264549E+06	1.161662E+06	1.063247E+06	1.515524E+06
34	5.864340E+07	2.032054E+04	1.067665E+07	4.418407E+05	2.031264E+04	4.824739E+05	2.514984E+05	9.107686E+06	3.816749E+05	4.689199E+05	4.668524E+05
35	5.847419E+07	2.599801E+04	1.042074E+07	8.410121E+05	4.604167E+04	9.130518E+05	8.443361E+05	6.889150E+06	6.550030E+05	4.875251E+05	1.544666E+06
36	5.839885E+07	2.540947E+04	1.051623E+07	8.217996E+05	4.667062E+04	8.938797E+05	5.141110E+05	6.616795E+06	2.319263E+06	5.946625E+05	4.713770E+05
37	5.812099E+07	2.775854E+04	1.066517E+07	9.387879E+05	6.296526E+04	1.029512E+06	9.206215E+05	3.933929E+06	3.263441E+06	1.187842E+06	1.359281E+06
38	5.847383E+07	2.194318E+04	1.077307E+07	5.123092E+05	2.690225E+04	5.611546E+05	3.961496E+05	6.982370E+06	1.498856E+06	8.204526E+05	1.075209E+06
39	5.823154E+07	2.396420E+04	1.101586E+07	5.061691E+05	3.208606E+04	5.622193E+05	2.253374E+05	6.511035E+06	3.379961E+06	3.336857E+05	5.658151E+05
40	5.857028E+07	2.403059E+04	1.047381E+07	7.001437E+05	3.571606E+04	7.598904E+05	6.610881E+05	8.429754E+06	7.938996E+05	1.249448E+05	4.640990E+05
41	5.837531E+07	2.378012E+04	1.079606E+07	5.785661E+05	3.366956E+04	6.360158E+05	4.666592E+05	7.176633E+06	2.675928E+06	2.466540E+05	2.301739E+05
42	5.835772E+07	2.362554E+04	1.067386E+07	7.173826E+05	3.992410E+04	7.809323E+05	1.952370E+05	5.508815E+06	2.580913E+06	1.363648E+06	1.025211E+06
43	5.849732E+07	2.223495E+04	1.071595E+07	5.423477E+05	2.813656E+04	5.927192E+05	1.701928E+05	7.892651E+06	1.785297E+06	4.860849E+05	3.817145E+05
44	5.859030E+07	2.220673E+04	1.050740E+07	6.537420E+05	3.171626E+04	7.076650E+05	6.441521E+05	7.663876E+06	1.300231E+06	7.727224E+05	1.264090E+05
45	5.848374E+07	2.427618E+04	1.036648E+07	8.889626E+05	4.618867E+04	9.594274E+05	4.665746E+05	6.213475E+06	2.181900E+06	1.239390E+06	2.651266E+05
46	5.837420E+07	2.325085E+04	1.090516E+07	4.791614E+05	2.787180E+04	5.302841E+05	6.298001E+05	6.420064E+06	1.305952E+06	6.103461E+05	1.938923E+06
47	5.820497E+07	2.559310E+04	1.091904E+07	6.236514E+05	4.002784E+04	6.892723E+05	5.860847E+05	5.168298E+06	2.182143E+06	8.270967E+05	2.155336E+06
48	5.843375E+07	2.650552E+04	1.035887E+07	9.401691E+05	5.079181E+04	1.017466E+06	8.554523E+04	6.651158E+06	7.120255E+05	8.945954E+05	2.015485E+06
49	5.807955E+07	2.485927E+04	1.126417E+07	4.121934E+05	2.958762E+04	4.666403E+05	7.108094E+05	5.660147E+06	3.410565E+06	2.138885E+05	1.268702E+06
50	5.828176E+07	2.727172E+04	1.069764E+07	7.553859E+05	4.765198E+04	8.303096E+05	5.846490E+05	6.487382E+06	1.508810E+06	1.769040E+05	1.939820E+06
51	5.823493E+07	2.780588E+04	1.053927E+07	9.536595E+05	5.870910E+04	1.040174E+06	1.106330E+05	5.211646E+06	2.114959E+06	1.061624E+06	2.040336E+06
52	5.808777E+07	2.699516E+04	1.088585E+07	7.627676E+05	5.162261E+04	8.413854E+05	2.434908E+05	4.751424E+06	3.235330E+06	9.410981E+05	1.714445E+06
53	5.850336E+07	2.049708E+04	1.099756E+07	2.691838E+05	1.434754E+04	3.040285E+05	1.617760E+04	8.571793E+06	5.634435E+05	2.286886E+05	1.617414E+06
54	5.838883E+07	2.549970E+04	1.043811E+07	9.092822E+05	5.076379E+04	9.855457E+05	6.395718E+05	5.254761E+06	2.015388E+06	1.326475E+06	1.201871E+06
