simul	U	Np	Pu	Am	Cm	MA	Pu-238	Pu-239	Pu-240	Pu-241	Pu-242
1	5.982931E+07	8.740974E+02	1.133298E+07	1.771170E+05	0.000000E+00	1.779911E+05	8.900048E+05	5.734730E+06	2.355554E+06	5.115576E+05	1.841130E+06
2	5.958725E+07	2.048149E+03	1.147038E+07	2.805874E+05	0.000000E+00	2.826355E+05	9.504706E+05	6.259171E+06	3.187503E+06	1.646902E+05	9.085488E+05
3	6.163686E+07	7.174356E+02	9.609335E+06	9.335830E+04	0.000000E+00	9.407574E+04	1.416933E+05	7.145324E+06	1.532906E+06	1.978939E+04	7.696225E+05
4	6.097314E+07	1.074130E+03	1.010709E+07	2.589670E+05	0.000000E+00	2.600411E+05	1.749074E+04	6.024332E+06	2.702378E+06	9.464312E+05	4.164566E+05
5	6.272997E+07	1.118174E+03	8.457412E+06	1.517721E+05	0.000000E+00	1.528903E+05	3.943418E+05	7.055400E+06	1.893750E+05	7.904375E+04	7.392519E+05
6	6.142503E+07	4.305318E+03	9.168058E+06	7.428703E+05	0.000000E+00	7.471756E+05	8.621704E+05	4.844934E+06	1.299000E+06	1.523494E+06	6.384598E+05
7	6.177593E+07	1.330221E+03	9.260193E+06	3.028155E+05	0.000000E+00	3.041457E+05	2.812115E+05	5.697610E+06	9.330759E+05	1.034443E+06	1.313853E+06
8	6.108614E+07	5.372799E+03	9.510188E+06	7.385695E+05	0.000000E+00	7.439423E+05	9.826079E+05	6.165229E+06	1.637721E+06	4.514025E+05	2.732273E+05
9	6.113235E+07	1.317405E+03	9.937380E+06	2.692236E+05	0.000000E+00	2.705410E+05	1.393241E+05	6.105908E+06	2.128090E+06	7.885367E+05	7.755217E+05
10	6.239124E+07	4.324158E+03	8.253165E+06	6.915380E+05	0.000000E+00	6.958622E+05	1.648566E+05	5.997974E+06	9.735356E+05	1.110320E+06	6.478502E+03
11	6.233191E+07	1.854328E+03	8.614254E+06	3.922487E+05	0.000000E+00	3.941030E+05	8.166081E+05	5.201051E+06	6.165094E+03	1.212214E+06	1.378216E+06
12	6.238214E+07	2.612127E+03	8.577195E+06	3.783208E+05	0.000000E+00	3.809329E+05	4.597353E+05	6.609797E+06	3.554203E+05	3.674960E+05	7.847464E+05
13	6.146097E+07	4.420580E+03	9.136156E+06	7.387290E+05	0.000000E+00	7.431496E+05	1.037279E+05	5.465328E+06	1.419546E+06	1.379452E+06	7.681021E+05
14	6.158419E+07	5.235997E+03	8.987966E+06	7.628764E+05	0.000000E+00	7.681124E+05	3.371000E+05	6.148008E+06	1.140138E+06	7.715184E+05	5.912011E+05
15	6.266543E+07	1.494847E+03	8.353133E+06	3.202100E+05	0.000000E+00	3.217048E+05	2.244467E+05	5.974758E+06	4.918868E+05	1.008002E+06	6.540395E+05
16	5.971391E+07	4.777762E+03	1.089113E+07	7.304553E+05	0.000000E+00	7.352331E+05	9.245899E+05	5.326905E+06	2.803069E+06	9.681564E+05	8.684058E+05
17	5.830914E+07	2.112894E+03	1.273313E+07	2.958935E+05	0.000000E+00	2.980064E+05	7.432286E+05	6.085472E+06	3.128134E+06	2.194020E+05	2.556893E+06
18	6.197527E+07	6.011136E+03	8.425426E+06	9.335619E+05	0.000000E+00	9.395730E+05	3.939079E+05	5.400496E+06	4.693630E+05	1.329926E+06	8.317331E+05
19	6.123315E+07	1.106656E+03	9.953000E+06	1.530095E+05	0.000000E+00	1.541162E+05	7.681896E+05	6.686129E+06	2.001296E+06	9.977333E+04	3.976120E+05
20	6.283498E+07	1.323930E+03	8.214205E+06	2.897653E+05	0.000000E+00	2.910892E+05	6.657740E+05	5.838033E+06	2.613578E+05	9.401866E+05	5.088537E+05
21	6.227138E+07	3.836932E+03	8.434949E+06	6.301012E+05	0.000000E+00	6.339381E+05	6.526914E+05	5.479326E+06	7.016481E+04	1.111993E+06	1.120774E+06
22	5.998768E+07	3.399645E+03	1.075119E+07	5.980077E+05	0.000000E+00	6.014073E+05	3.501611E+05	5.168692E+06	2.542782E+06	1.290762E+06	1.398792E+06
23	5.949005E+07	7.140245E+03	1.077238E+07	1.070701E+06	0.000000E+00	1.077841E+06	4.606801E+05	5.344469E+06	3.357234E+06	1.285771E+06	3.242273E+05
24	6.181855E+07	6.467514E+03	8.502357E+06	1.012903E+06	0.000000E+00	1.019371E+06	3.371984E+05	5.379997E+06	1.270734E+06	1.495990E+06	1.843745E+04
25	6.210863E+07	3.140639E+03	8.702187E+06	5.263193E+05	0.000000E+00	5.294599E+05	3.813904E+05	5.899911E+06	1.007931E+06	9.914496E+05	4.215050E+05
26	6.264890E+07	2.408328E+03	8.256125E+06	4.328340E+05	0.000000E+00	4.352423E+05	2.194802E+04	6.096981E+06	2.834853E+05	9.851619E+05	8.685490E+05
27	5.989065E+07	1.962301E+03	1.117621E+07	2.714406E+05	0.000000E+00	2.734029E+05	8.248037E+05	6.320634E+06	2.096269E+06	1.778933E+05	1.756612E+06
28	6.206727E+07	1.815705E+03	8.922132E+06	3.490606E+05	0.000000E+00	3.508763E+05	5.355723E+05	5.862086E+06	1.079078E+06	9.176136E+05	5.277817E+05
29	6.240719E+07	4.145961E+03	8.235792E+06	6.931368E+05	0.000000E+00	6.972828E+05	7.755134E+05	5.261781E+06	1.901780E+05	1.296061E+06	7.122582E+05
30	6.144095E+07	5.159699E+03	9.105060E+06	7.890976E+05	0.000000E+00	7.942573E+05	3.147264E+05	5.830162E+06	1.483485E+06	1.047470E+06	4.292162E+05
31	5.852682E+07	5.586462E+03	1.205765E+07	7.502125E+05	0.000000E+00	7.557990E+05	8.079986E+05	6.029474E+06	2.947676E+06	3.329935E+05	1.939509E+06
32	6.162716E+07	5.660013E+03	8.833664E+06	8.737836E+05	0.000000E+00	8.794436E+05	5.177073E+05	5.489152E+06	1.023955E+06	1.211883E+06	5.909662E+05
33	6.162482E+07	2.224844E+03	9.278739E+06	4.344843E+05	0.000000E+00	4.367091E+05	7.037236E+05	5.252984E+06	8.238577E+05	1.176446E+06	1.321728E+06
34	6.316530E+07	2.143132E+03	7.845488E+06	3.273333E+05	0.000000E+00	3.294764E+05	1.910228E+05	6.853856E+06	3.458010E+04	4.317991E+05	3.342300E+05
35	6.128379E+07	5.577521E+03	9.272471E+06	7.784304E+05	0.000000E+00	7.840079E+05	8.357572E+05	6.125929E+06	3.362947E+05	5.587408E+05	1.415749E+06
36	6.070229E+07	6.036515E+03	9.785050E+06	8.468887E+05	0.000000E+00	8.529252E+05	5.166928E+05	6.166603E+06	2.037620E+06	6.385540E+05	4.255802E+05
37	5.754103E+07	7.571250E+03	1.259995E+07	1.191722E+06	0.000000E+00	1.199293E+06	1.277958E+06	3.787786E+06	4.077453E+06	1.797129E+06	1.659620E+06
38	6.173878E+07	2.411054E+03	9.181234E+06	4.178485E+05	0.000000E+00	4.202596E+05	3.672204E+05	5.933191E+06	1.091581E+06	8.672440E+05	9.219978E+05
39	5.957659E+07	4.265927E+03	1.118556E+07	5.738468E+05	0.000000E+00	5.781127E+05	2.390698E+05	6.660146E+06	3.426424E+06	2.617450E+05	5.981760E+05
40	6.231861E+07	4.792540E+03	8.396742E+06	6.201294E+05	0.000000E+00	6.249219E+05	5.775275E+05	6.956351E+06	3.833643E+05	1.051723E+05	3.743268E+05
41	6.069454E+07	4.683857E+03	1.002582E+07	6.152237E+05	0.000000E+00	6.199076E+05	4.786814E+05	6.797892E+06	2.368830E+06	1.732232E+05	2.071957E+05
42	6.053872E+07	3.611982E+03	1.012874E+07	6.691971E+05	0.000000E+00	6.728091E+05	1.760783E+05	4.974131E+06	2.390360E+06	1.631660E+06	9.565096E+05
43	6.193394E+07	3.321121E+03	8.922422E+06	4.805867E+05	0.000000E+00	4.839078E+05	1.361933E+05	6.723512E+06	1.290942E+06	4.640166E+05	3.077583E+05
44	6.237293E+07	3.572743E+03	8.412869E+06	5.508923E+05	0.000000E+00	5.544650E+05	5.604012E+05	6.180708E+06	8.426825E+05	7.598803E+05	6.919698E+04
45	6.131240E+07	5.153416E+03	9.192384E+06	8.303331E+05	0.000000E+00	8.354865E+05	4.338329E+05	5.387426E+06	1.819035E+06	1.370758E+06	1.813319E+05
46	6.089988E+07	2.420933E+03	1.004023E+07	3.977305E+05	0.000000E+00	4.001514E+05	6.613992E+05	5.813171E+06	1.005114E+06	7.028856E+05	1.857664E+06
47	5.929558E+07	3.740844E+03	1.142633E+07	6.146210E+05	0.000000E+00	6.183618E+05	7.064124E+05	5.033229E+06	2.221162E+06	1.086448E+06	2.379080E+06
48	6.138232E+07	5.485424E+03	9.124465E+06	8.279983E+05	0.000000E+00	8.334837E+05	3.790391E+04	5.845296E+06	3.973191E+05	1.029647E+06	1.814299E+06
