simul	U	Np	Pu	Am	Cm	MA	Pu-238	Pu-239	Pu-240	Pu-241	Pu-242
1	5.811939E+07	2.211206E+04	1.140559E+07	2.471548E+05	1.593971E+04	2.852065E+05	7.509685E+05	5.973875E+06	2.457757E+06	4.751766E+05	1.747745E+06
2	5.790029E+07	2.212866E+04	1.158379E+07	2.841975E+05	1.794874E+04	3.242749E+05	8.091789E+05	6.402218E+06	3.245904E+06	2.620308E+05	8.644203E+05
3	5.989455E+07	2.111818E+04	9.768755E+06	1.169467E+05	8.071619E+03	1.461365E+05	1.234295E+05	7.054320E+06	1.777941E+06	9.402383E+04	7.190102E+05
4	5.928014E+07	2.090858E+04	1.021351E+07	2.802760E+05	1.672054E+04	3.179051E+05	3.077409E+04	6.155255E+06	2.792763E+06	8.028652E+05	4.318386E+05
5	6.098047E+07	2.163284E+04	8.629853E+06	1.667164E+05	1.143767E+04	1.997869E+05	3.345321E+05	6.975389E+06	5.539049E+05	7.510252E+04	6.908916E+05
6	5.977695E+07	2.417541E+04	9.247588E+06	7.218955E+05	4.272187E+04	7.887928E+05	7.593406E+05	5.214114E+06	1.449037E+06	1.155407E+06	6.696570E+05
7	6.005684E+07	2.231830E+04	9.353684E+06	3.577387E+05	2.247311E+04	4.025301E+05	2.513904E+05	5.886808E+06	1.158780E+06	7.859099E+05	1.270743E+06
8	5.943012E+07	2.467361E+04	9.659814E+06	6.548896E+05	4.021079E+04	7.197740E+05	8.591639E+05	6.287602E+06	1.820534E+06	4.032143E+05	2.892812E+05
9	5.942612E+07	2.158044E+04	1.004861E+07	2.968752E+05	1.832676E+04	3.367824E+05	1.323766E+05	6.221032E+06	2.269757E+06	6.650124E+05	7.603996E+05
10	6.072702E+07	2.359344E+04	8.392779E+06	6.310332E+05	3.801195E+04	6.926386E+05	1.768141E+05	6.097682E+06	1.207509E+06	8.455747E+05	6.519500E+04
11	6.061697E+07	2.295311E+04	8.702837E+06	4.431597E+05	2.781214E+04	4.939250E+05	6.979573E+05	5.507473E+06	2.922769E+05	8.676161E+05	1.337453E+06
12	6.066081E+07	2.298281E+04	8.732801E+06	3.702944E+05	2.400969E+04	4.172869E+05	4.021560E+05	6.614556E+06	6.789110E+05	2.863905E+05	7.507517E+05
13	5.979895E+07	2.447332E+04	9.229592E+06	7.174761E+05	4.306292E+04	7.850123E+05	1.287898E+05	5.670860E+06	1.587198E+06	1.057623E+06	7.850892E+05
14	5.991675E+07	2.502220E+04	9.123543E+06	7.030686E+05	4.324796E+04	7.713387E+05	3.234382E+05	6.228355E+06	1.364498E+06	6.102096E+05	5.970150E+05
15	6.095012E+07	2.183299E+04	8.476103E+06	3.435263E+05	2.131106E+04	3.866703E+05	2.052443E+05	6.097637E+06	7.719848E+05	7.474099E+05	6.537972E+05
16	5.807681E+07	2.464750E+04	1.097141E+07	6.966273E+05	4.138914E+04	7.626640E+05	8.137778E+05	5.622363E+06	2.847739E+06	8.212341E+05	8.662621E+05
17	5.663075E+07	2.371390E+04	1.277593E+07	3.556788E+05	2.265900E+04	4.020517E+05	6.379483E+05	6.248795E+06	3.174653E+06	2.959010E+05	2.418546E+06
18	6.031918E+07	2.608137E+04	8.533348E+06	8.817439E+05	5.339809E+04	9.612234E+05	3.793927E+05	5.614220E+06	7.165487E+05	9.779778E+05	8.451709E+05
19	5.951845E+07	2.093865E+04	1.010593E+07	1.534885E+05	9.891403E+03	1.843186E+05	6.470250E+05	6.727232E+06	2.183273E+06	1.695575E+05	3.788261E+05
20	6.112104E+07	2.151498E+04	8.342541E+06	3.081939E+05	1.906706E+04	3.487759E+05	5.680206E+05	6.014228E+06	5.569615E+05	6.879835E+05	5.153209E+05
21	6.057831E+07	2.447713E+04	8.543395E+06	6.280809E+05	3.908995E+04	6.916480E+05	5.760513E+05	5.706261E+06	3.613986E+05	8.010041E+05	1.098630E+06
22	5.832349E+07	2.405267E+04	1.080988E+07	6.183219E+05	3.696784E+04	6.793424E+05	3.264333E+05	5.467657E+06	2.601606E+06	1.041627E+06	1.372509E+06
23	5.789804E+07	2.620321E+04	1.085094E+07	9.799573E+05	5.638150E+04	1.062542E+06	4.451339E+05	5.598849E+06	3.357146E+06	1.074913E+06	3.748786E+05
24	6.019613E+07	2.548280E+04	8.615058E+06	9.223585E+05	5.417145E+04	1.002013E+06	3.373515E+05	5.597601E+06	1.445924E+06	1.137443E+06	9.673183E+04
25	6.042449E+07	2.296952E+04	8.827979E+06	5.059035E+05	3.090891E+04	5.597819E+05	3.470760E+05	6.042183E+06	1.235599E+06	7.608063E+05	4.422930E+05
26	6.093456E+07	2.293565E+04	8.381148E+06	4.465383E+05	2.805312E+04	4.975270E+05	4.438334E+04	6.174023E+06	5.870826E+05	7.212601E+05	8.543617E+05
27	5.819375E+07	2.298836E+04	1.126297E+07	3.093245E+05	2.008829E+04	3.524011E+05	7.020671E+05	6.432983E+06	2.244171E+06	2.268248E+05	1.656861E+06
28	6.036725E+07	2.186985E+04	9.042437E+06	3.584050E+05	2.199917E+04	4.022740E+05	4.648651E+05	6.031749E+06	1.300604E+06	7.106591E+05	5.345334E+05
29	6.073264E+07	2.426827E+04	8.343716E+06	6.718905E+05	4.095460E+04	7.371133E+05	6.818449E+05	5.536098E+06	4.594395E+05	9.391485E+05	7.271492E+05
30	5.978751E+07	2.473484E+04	9.224820E+06	7.310165E+05	4.407587E+04	7.998272E+05	3.066526E+05	5.974573E+06	1.662621E+06	8.232795E+05	4.576726E+05
31	5.688728E+07	2.641824E+04	1.212887E+07	7.225198E+05	4.391522E+04	7.928533E+05	7.175765E+05	6.185644E+06	3.004549E+06	3.695239E+05	1.851509E+06
32	5.997771E+07	2.540927E+04	8.944217E+06	8.163668E+05	4.912175E+04	8.908979E+05	4.794265E+05	5.702411E+06	1.226496E+06	9.199746E+05	6.158801E+05
33	5.992427E+07	2.311233E+04	9.362253E+06	4.741872E+05	2.934349E+04	5.266430E+05	6.086421E+05	5.547647E+06	1.036922E+06	8.821095E+05	1.286877E+06
34	6.144001E+07	2.213896E+04	8.019971E+06	3.092227E+05	1.980781E+04	3.511695E+05	1.774440E+05	6.790314E+06	4.012612E+05	3.172925E+05	3.336423E+05
35	5.962640E+07	2.615377E+04	9.371427E+06	7.410464E+05	4.592350E+04	8.131237E+05	7.373979E+05	6.230387E+06	6.240442E+05	4.223148E+05	1.357223E+06
36	5.905759E+07	2.543495E+04	9.919163E+06	7.620590E+05	4.624235E+04	8.337363E+05	4.781784E+05	6.262093E+06	2.183716E+06	5.542796E+05	4.408749E+05
37	5.597157E+07	2.794153E+04	1.259827E+07	1.150468E+06	6.387069E+04	1.242280E+06	1.140184E+06	4.376753E+06	3.954401E+06	1.470833E+06	1.656044E+06
38	6.003643E+07	2.284573E+04	9.295061E+06	4.309621E+05	2.686520E+04	4.806730E+05	3.291211E+05	6.075786E+06	1.313696E+06	6.750764E+05	9.013419E+05
39	5.791474E+07	2.386948E+04	1.131493E+07	5.232447E+05	3.220114E+04	5.793154E+05	2.326177E+05	6.676434E+06	3.480740E+06	3.408071E+05	5.843032E+05
40	6.062305E+07	2.445528E+04	8.584871E+06	5.425230E+05	3.478594E+04	6.017642E+05	5.132803E+05	6.885298E+06	7.189261E+05	1.022387E+05	3.651079E+05
41	5.902748E+07	2.393355E+04	1.018760E+07	5.365346E+05	3.330456E+04	5.937728E+05	4.337873E+05	6.783425E+06	2.518749E+06	2.360848E+05	2.155400E+05
42	5.888680E+07	2.381459E+04	1.018582E+07	6.775317E+05	3.978234E+04	7.411286E+05	1.853659E+05	5.293841E+06	2.453893E+06	1.281592E+06	9.710897E+05
43	6.023870E+07	2.298758E+04	9.082154E+06	4.392819E+05	2.749740E+04	4.897669E+05	1.412546E+05	6.693832E+06	1.533242E+06	3.981635E+05	3.156478E+05
44	6.069269E+07	2.297589E+04	8.565352E+06	4.996049E+05	3.060813E+04	5.531889E+05	4.965727E+05	6.274171E+06	1.099125E+06	5.884951E+05	1.069798E+05
45	5.967816E+07	2.441300E+04	9.294328E+06	7.703813E+05	4.534743E+04	8.401417E+05	4.084005E+05	5.626044E+06	1.949154E+06	1.070937E+06	2.397799E+05
46	5.919812E+07	2.374788E+04	1.011817E+07	4.434246E+05	2.817356E+04	4.953461E+05	5.717579E+05	5.998269E+06	1.224570E+06	5.536914E+05	1.769814E+06
47	5.762674E+07	2.536491E+04	1.146302E+07	6.571241E+05	3.986992E+04	7.223589E+05	6.236554E+05	5.376173E+06	2.296575E+06	8.801341E+05	2.286404E+06
48	5.970459E+07	2.668193E+04	9.212230E+06	8.191693E+05	5.077836E+04	8.966296E+05	7.907175E+04	5.956454E+06	6.683270E+05	7.598850E+05	1.748424E+06
49	5.647079E+07	2.425835E+04	1.280994E+07	4.733053E+05	2.942437E+04	5.269881E+05	8.412857E+05	6.323089E+06	3.935082E+06	2.230512E+05	1.487374E+06
50	5.803565E+07	2.724224E+04	1.092503E+07	7.736138E+05	4.763423E+04	8.484903E+05	6.002934E+05	6.616168E+06	1.537633E+06	1.801943E+05	1.990668E+06
51	5.793532E+07	2.779390E+04	1.080946E+07	9.824202E+05	5.873926E+04	1.068953E+06	1.128490E+05	5.323093E+06	2.171813E+06	1.097881E+06	2.103756E+06
52	5.642916E+07	2.677197E+04	1.241626E+07	8.881009E+05	5.180826E+04	9.666811E+05	2.828795E+05	5.264488E+06	3.752679E+06	1.106605E+06	2.009544E+06
53	6.069344E+07	2.236332E+04	8.858832E+06	2.212918E+05	1.532016E+04	2.589753E+05	1.467705E+04	6.892093E+06	5.378831E+05	1.745147E+05	1.239612E+06
54	5.889174E+07	2.556599E+04	9.984922E+06	8.608512E+05	5.059296E+04	9.370102E+05	6.049351E+05	5.065704E+06	1.924281E+06	1.249070E+06	1.140885E+06
55	5.629821E+07	2.567169E+04	1.275497E+07	6.895851E+05	4.136867E+04	7.566255E+05	8.174366E+05	5.598595E+06	3.821510E+06	6.692936E+05	1.848075E+06
56	5.937086E+07	2.268205E+04	9.817604E+06	5.688458E+05	3.333333E+04	6.248611E+05	3.979585E+05	5.324124E+06	2.278134E+06	1.229343E+06	5.880184E+05
57	5.737674E+07	2.585795E+04	1.170545E+07	6.595850E+05	4.049952E+04	7.259425E+05	1.010829E+06	6.367597E+06	2.631318E+06	1.935466E+05	1.502103E+06
58	5.731917E+07	2.466443E+04	1.181229E+07	6.150617E+05	3.733276E+04	6.770589E+05	8.625895E+05	6.225692E+06	3.550475E+06	3.816544E+05	7.918460E+05
59	5.875730E+07	2.136404E+04	1.090783E+07	1.146082E+05	8.133432E+03	1.441057E+05	3.091630E+05	6.760642E+06	2.396652E+06	1.412329E+05	1.300089E+06
60	6.138178E+07	2.124894E+04	8.113672E+06	2.784899E+05	1.717158E+04	3.169104E+05	4.986536E+04	6.412797E+06	7.067076E+05	6.403144E+05	3.039736E+05
61	5.910997E+07	2.471362E+04	1.000879E+07	6.292625E+05	3.878553E+04	6.927617E+05	7.890225E+05	5.764729E+06	1.599913E+06	6.662643E+05	1.188813E+06
62	5.901444E+07	2.510856E+04	9.940526E+06	7.860881E+05	4.667345E+04	8.578702E+05	5.895335E+05	5.382483E+06	1.971511E+06	1.060346E+06	9.366124E+05
63	6.046205E+07	2.500560E+04	8.479113E+06	7.996766E+05	4.805443E+04	8.727366E+05	9.840918E+04	5.718426E+06	1.035283E+06	1.064544E+06	5.624269E+05
