# NumSimul U_BOC U_EOC Np_BOC Np_EOC Pu_BOC Pu_EOC Am_BOC Am_EOC Cm_BOC Cm_EOC MA_BOC MA_EOC Pu8_BOC Pu8_EOC Pu9_BOC Pu9_EOC Pu0_BOC Pu0_EOC Pu1_BOC Pu1_EOC Pu2_BOC Pu2_EOC
0 66.96 65.4611 4.64326e-17 0.0131531 5.04 3.89118 0 0.150546 0 0.0578999 4.64326e-17 0.221599 0.0649994 0.0631545 3.42118 1.97023 0.481707 0.77511 0.523447 0.545445 0.548671 0.537242
1 66.96 65.4036 8.41398e-17 0.0136756 5.04 3.90991 0 0.180563 0 0.0690333 8.41398e-17 0.263271 0.251566 0.206093 2.59233 1.61986 0.624686 0.759616 0.948529 0.648903 0.622889 0.675436
2 66.96 65.4877 8.54253e-17 0.0131181 5.04 3.89031 0 0.137002 0 0.0462251 8.54253e-17 0.196345 0.405581 0.325193 3.18916 1.98917 0.214229 0.60939 0.963022 0.613414 0.268006 0.353146
3 66.96 65.33 6.66988e-17 0.0141789 5.04 3.95915 0 0.192806 0 0.0811874 6.66988e-17 0.288172 0.364216 0.276081 2.29282 1.42391 0.774968 0.807864 0.751912 0.590522 0.856088 0.860769
4 66.96 65.3892 3.83443e-17 0.0136638 5.04 3.96449 0 0.148161 0 0.0594495 3.83443e-17 0.221274 0.243287 0.189713 3.05981 1.77687 0.797008 0.925167 0.432266 0.567374 0.507631 0.505363
5 66.96 65.4129 5.81212e-17 0.0135914 5.04 3.92893 0 0.156676 0 0.0626264 5.81212e-17 0.232894 0.402111 0.309146 3.02528 1.8133 0.391886 0.697498 0.655215 0.539788 0.565504 0.569201
6 66.96 65.4277 9.12367e-17 0.0135496 5.04 3.90776 0 0.166823 0 0.0606193 9.12367e-17 0.240992 0.366183 0.292555 2.63964 1.6871 0.555571 0.729196 1.02853 0.663903 0.450071 0.535008
7 66.96 65.3596 9.08246e-17 0.0140469 5.04 3.97447 0 0.169051 0 0.0615898 9.08246e-17 0.244688 0.450067 0.347302 1.98707 1.37562 1.18357 0.987971 1.02389 0.733873 0.395397 0.529696
8 66.96 65.407 8.52158e-17 0.0136311 5.04 3.95464 0 0.151519 0 0.0506451 8.52158e-17 0.215795 0.181421 0.157306 2.52736 1.61873 1.10396 1.02618 0.96066 0.752715 0.266599 0.399709
9 66.96 65.368 1.80496e-17 0.0137546 5.04 4.05348 0 0.101992 0 0.0372133 1.80496e-17 0.15296 0.260772 0.199211 3.17929 1.83188 1.20491 1.18556 0.203477 0.59911 0.191541 0.23772
10 66.96 65.3806 3.10697e-17 0.0137059 5.04 3.97473 0 0.145864 0 0.0597476 3.10697e-17 0.219318 0.261438 0.200744 3.10649 1.7848 0.799584 0.934811 0.350256 0.54877 0.522228 0.505604
11 66.96 65.4221 4.80915e-17 0.0135054 5.04 3.98389 0 0.114367 0 0.040617 4.80915e-17 0.168489 0.429752 0.330327 3.1739 1.91718 0.683908 0.877135 0.542148 0.582837 0.210296 0.276417
12 66.96 65.3785 3.24079e-18 0.0135997 5.04 3.9967 0 0.129846 0 0.0549014 3.24079e-18 0.198347 0.100545 0.0805113 3.43988 1.88213 0.969877 1.0793 0.0365342 0.514779 0.493161 0.439984
13 66.96 65.4606 4.06951e-17 0.0132375 5.04 3.95614 0 0.104166 0 0.0385425 4.06951e-17 0.155945 0.487951 0.373922 3.61741 2.152 0.245142 0.68546 0.458766 0.486467 0.230731 0.258291
14 66.96 65.5277 6.06132e-17 0.0127419 5.04 3.89723 0 0.103656 0 0.0316138 6.06132e-17 0.148011 0.183954 0.156133 3.74216 2.25279 0.293441 0.697197 0.683309 0.574769 0.137136 0.21634
15 66.96 65.4491 5.9736e-17 0.0133663 5.04 3.98611 0 0.0970471 0 0.0287148 5.9736e-17 0.139128 0.506144 0.392034 3.1985 1.97824 0.587068 0.823101 0.673419 0.602269 0.0748653 0.190475
16 66.96 65.4848 1.30881e-17 0.0128844 5.04 3.9261 0 0.106725 0 0.0414724 1.30881e-17 0.161082 0.0229863 0.0257103 4.0032 2.25301 0.52929 0.868778 0.147546 0.468457 0.336981 0.310142
17 66.96 65.4222 2.2296e-17 0.0133858 5.04 3.91997 0 0.152061 0 0.0651751 2.2296e-17 0.230622 0.207396 0.159549 3.54024 1.96619 0.28232 0.692625 0.251348 0.431666 0.758696 0.669938
18 66.96 65.3533 2.03525e-17 0.0139047 5.04 4.08293 0 0.0921836 0 0.0322517 2.03525e-17 0.13834 0.477914 0.354626 3.0437 1.79448 1.15895 1.14228 0.229439 0.593495 0.130007 0.198049
19 66.96 65.4272 5.62513e-17 0.0134385 5.04 3.90634 0 0.163615 0 0.0642897 5.62513e-17 0.241343 0.179987 0.148461 3.10191 1.81974 0.498352 0.753374 0.634136 0.562912 0.625613 0.621845
20 66.96 65.2969 6.65856e-17 0.014378 5.04 4.03741 0 0.165671 0 0.0645547 6.65856e-17 0.244604 0.45594 0.340809 1.86197 1.2715 1.53818 1.16449 0.750636 0.720072 0.433275 0.540528
21 66.96 65.3974 7.97579e-17 0.0136817 5.04 3.89645 0 0.193944 0 0.0753578 7.97579e-17 0.282984 0.0184797 0.0370735 2.64639 1.59304 0.692558 0.800562 0.899132 0.654854 0.783444 0.810925
22 66.96 65.2853 7.72826e-17 0.0144662 5.04 3.98062 0 0.210637 0 0.0883291 7.72826e-17 0.313432 0.221697 0.177261 1.83803 1.21761 1.18681 0.957232 0.871226 0.666788 0.922233 0.96173
23 66.96 65.283 5.90931e-18 0.0143183 5.04 4.03983 0 0.162365 0 0.0751713 5.90931e-18 0.251855 0.443793 0.315819 2.84335 1.57053 0.889031 0.961353 0.0666171 0.489878 0.797212 0.702245
24 66.96 65.5052 5.94124e-17 0.0129144 5.04 3.94126 0 0.0901622 0 0.0238969 5.94124e-17 0.126974 0.255213 0.209308 3.59591 2.18282 0.468939 0.786298 0.669771 0.600575 0.0501692 0.162252
25 66.96 65.453 8.57516e-17 0.013359 5.04 3.89484 0 0.157344 0 0.0568675 8.57516e-17 0.22757 0.368812 0.295105 2.92792 1.82982 0.356942 0.656918 0.966699 0.625148 0.419629 0.487848
26 66.96 65.3959 6.34985e-17 0.0136587 5.04 3.90688 0 0.185377 0 0.0741708 6.34985e-17 0.273206 0.0915713 0.0856367 2.80192 1.6446 0.62679 0.786001 0.715835 0.593581 0.80388 0.797062
27 66.96 65.3278 3.0369e-17 0.0140102 5.04 3.99915 0 0.166416 0 0.0688343 3.0369e-17 0.249261 0.0369749 0.0411407 2.74075 1.55044 1.27883 1.16166 0.342358 0.62079 0.64109 0.62512
28 66.96 65.3271 3.91172e-17 0.0141149 5.04 3.99289 0 0.169426 0 0.0724673 3.91172e-17 0.256008 0.374631 0.278415 2.6415 1.55245 0.876575 0.917968 0.440978 0.56072 0.706316 0.683345
29 66.96 65.4399 5.14581e-17 0.0133508 5.04 3.95258 0 0.124563 0 0.0441762 5.14581e-17 0.18209 0.251712 0.201725 3.22853 1.93024 0.718047 0.896222 0.5801 0.603744 0.261609 0.320645
30 66.96 65.4531 2.36535e-17 0.0131489 5.04 3.91976 0 0.133419 0 0.0534766 2.36535e-17 0.200045 0.089077 0.0760645 3.65883 2.0597 0.522736 0.830864 0.266652 0.490207 0.502701 0.462925
31 66.96 65.4106 5.03165e-17 0.0135137 5.04 3.90691 0 0.174305 0 0.0698008 5.03165e-17 0.257619 0.0511046 0.0538954 3.03747 1.73985 0.632508 0.818717 0.567231 0.567024 0.751685 0.727417
32 66.96 65.4342 8.90267e-17 0.0135474 5.04 3.92004 0 0.153723 0 0.0547015 8.90267e-17 0.221972 0.495252 0.386497 2.66496 1.71743 0.526131 0.721054 1.00362 0.648186 0.35004 0.446876
33 66.96 65.3659 7.53298e-17 0.0139155 5.04 3.92196 0 0.195555 0 0.0796021 7.53298e-17 0.289073 0.220106 0.17894 2.47164 1.51224 0.638032 0.752589 0.849212 0.606935 0.861008 0.871257
34 66.96 65.3401 3.69528e-17 0.0140236 5.04 4.04883 0 0.125384 0 0.0476021 3.69528e-17 0.18701 0.42456 0.317875 2.68809 1.62532 1.24674 1.13741 0.416578 0.638581 0.264031 0.329649
35 66.96 65.4278 5.38813e-17 0.013422 5.04 3.93605 0 0.144214 0 0.0535967 5.38813e-17 0.211232 0.165307 0.138376 3.10013 1.83874 0.768287 0.907592 0.607418 0.613676 0.398858 0.437663
36 66.96 65.4701 8.14511e-17 0.0131969 5.04 3.85729 0 0.169513 0 0.0641444 8.14511e-17 0.246854 0.214928 0.180396 3.19619 1.92118 0.0789181 0.540239 0.918219 0.569345 0.631749 0.646128
37 66.96 65.2761 5.97039e-17 0.0145373 5.04 3.99196 0 0.20474 0 0.0906083 5.97039e-17 0.309885 0.415922 0.304413 2.01032 1.26635 0.916831 0.841804 0.673057 0.573113 1.02387 1.00628
38 66.96 65.3464 2.62581e-17 0.0139136 5.04 3.97428 0 0.167899 0 0.0724866 2.62581e-17 0.254299 0.222482 0.169537 2.95465 1.65623 0.788653 0.908801 0.296014 0.523326 0.778202 0.716387
39 66.96 65.4027 7.13878e-17 0.013729 5.04 3.92491 0 0.1673 0 0.0668974 7.13878e-17 0.247926 0.483917 0.369721 2.77054 1.70818 0.36702 0.65713 0.804773 0.557013 0.613751 0.632872
